Energy sigmaCC sigmaNC
0.01 0 2.54505e-05
0.135115 0.00256202 0.0117182
0.26023 0.0496117 0.0325101
0.385345 0.0892639 0.0511334
0.51046 0.133048 0.0714036
0.635576 0.184105 0.0921501
0.760691 0.236219 0.112613
0.885806 0.289836 0.133153
1.01092 0.34479 0.153968
1.13604 0.401011 0.17516
1.26115 0.458933 0.196413
1.38627 0.514998 0.217307
1.51138 0.570712 0.237705
1.6365 0.62437 0.257526
1.76161 0.676003 0.276706
1.88673 0.726534 0.295431
2.01184 0.774296 0.313752
2.13696 0.823033 0.331578
2.26207 0.870601 0.349071
2.38719 0.917268 0.366237
2.5123 0.963186 0.383135
2.63742 1.00847 0.399826
2.76253 1.05318 0.416307
2.88765 1.09735 0.432604
3.01276 1.141 0.448738
3.13788 1.1842 0.46473
3.26299 1.22703 0.480606
3.38811 1.26953 0.496378
3.51322 1.31174 0.512046
3.63834 1.35373 0.527634
3.76345 1.39549 0.54309
3.88857 1.43696 0.558477
4.01368 1.47814 0.573804
4.1388 1.51913 0.589076
4.26391 1.55997 0.604296
4.38903 1.60065 0.619476
4.51414 1.64117 0.634624
4.63926 1.68162 0.649746
4.76437 1.72199 0.664831
4.88949 1.76231 0.679867
5.0146 1.80248 0.694844
5.13972 1.84239 0.709777
5.26483 1.88207 0.72468
5.38995 1.92174 0.739571
5.51507 1.96158 0.754421
5.64018 2.00161 0.769202
5.7653 2.04168 0.783983
5.89041 2.08159 0.798705
6.01553 2.12128 0.813474
6.14064 2.16083 0.82821
6.26576 2.20032 0.842936
6.39087 2.23982 0.857645
6.51599 2.27935 0.872346
6.6411 2.31888 0.887062
6.76622 2.3584 0.901723
6.89133 2.39788 0.916366
7.01645 2.43734 0.930994
7.14156 2.47679 0.945609
7.26668 2.51621 0.960217
7.39179 2.55563 0.974816
7.51691 2.59501 0.989406
7.64202 2.63435 1.00399
7.76714 2.67363 1.01856
7.89225 2.71286 1.03312
8.01737 2.75204 1.04767
8.14248 2.79122 1.06222
8.2676 2.83042 1.07677
8.39271 2.86963 1.09132
8.51783 2.9089 1.10587
8.64294 2.94824 1.12041
8.76806 2.98758 1.13495
8.89317 3.02691 1.14949
9.01829 3.0662 1.16403
9.1434 3.10545 1.17857
9.26852 3.14467 1.1931
9.39363 3.1839 1.20763
9.51875 3.22313 1.22215
9.64386 3.26238 1.23668
9.76898 3.30165 1.25119
9.89409 3.34094 1.2657
10.0192 3.38023 1.28021
10.1443 3.41951 1.29471
10.2694 3.45878 1.30921
10.3946 3.49803 1.3237
10.5197 3.53726 1.33819
10.6448 3.57648 1.35268
10.7699 3.6157 1.36717
10.895 3.65493 1.38162
11.0201 3.69416 1.39605
11.1452 3.7334 1.41051
11.2704 3.77267 1.425
11.3955 3.81196 1.43944
11.5206 3.85126 1.45387
11.6457 3.89057 1.46834
11.7708 3.9299 1.48282
11.8959 3.96923 1.49729
12.0211 4.00856 1.51176
12.1462 4.0479 1.52623
12.2713 4.08724 1.54069
12.3964 4.12659 1.55516
12.5215 4.16594 1.56962
12.6466 4.2053 1.5841
12.7717 4.24466 1.59858
12.8969 4.28403 1.61305
13.022 4.3234 1.62751
13.1471 4.36278 1.64196
13.2722 4.40217 1.65642
13.3973 4.44156 1.67088
13.5224 4.48097 1.68534
13.6475 4.52037 1.69979
13.7727 4.55979 1.71425
13.8978 4.59921 1.72871
14.0229 4.63864 1.74318
14.148 4.67809 1.75764
14.2731 4.71754 1.7721
14.3982 4.757 1.78657
14.5234 4.79647 1.80103
14.6485 4.83595 1.8155
14.7736 4.87544 1.82997
14.8987 4.91494 1.84443
15.0238 4.95445 1.8589
15.1489 4.99396 1.87336
15.274 5.03348 1.88782
15.3992 5.07301 1.90228
15.5243 5.11254 1.91674
15.6494 5.15206 1.93119
15.7745 5.19159 1.94565
15.8996 5.23112 1.96011
16.0247 5.27065 1.97457
16.1498 5.31017 1.98903
16.275 5.3497 2.00349
16.4001 5.38922 2.01796
16.5252 5.42874 2.03243
16.6503 5.46828 2.04691
16.7754 5.50784 2.06138
16.9005 5.54741 2.07586
17.0257 5.58699 2.09034
17.1508 5.62658 2.10482
