,energy,nu,nubar,tau,taubar,nc,ncbar
0,0.01,0.0,0.0,0.0,0.0,2.71092e-05,2.54505e-05
1,0.135115,0.00445713,0.00256202,0.0,0.0,0.0215248,0.0117182
2,0.26023,0.168191,0.0496117,0.0,0.0,0.0797762,0.0325101
3,0.385345,0.361239,0.0892639,0.0,0.0,0.136161,0.0511334
4,0.51046,0.538642,0.133048,0.0,0.0,0.189905,0.0714036
5,0.635576,0.717118,0.184105,0.0,0.0,0.239634,0.0921501
6,0.760691,0.871376,0.236219,0.0,0.0,0.283292,0.112613
7,0.885806,1.0009,0.289836,0.0,0.0,0.322549,0.133153
8,1.01092,1.12069,0.34479,0.0,0.0,0.359387,0.153968
9,1.13604,1.23204,0.401011,0.0,0.0,0.39525,0.17516
10,1.26115,1.3396,0.458933,0.0,0.0,0.429857,0.196413
11,1.38627,1.44092,0.514998,0.0,0.0,0.462968,0.217307
12,1.51138,1.53477,0.570712,0.0,0.0,0.494908,0.237705
13,1.6365,1.6246,0.62437,0.0,0.0,0.525865,0.257526
14,1.76161,1.71207,0.676003,0.0,0.0,0.556015,0.276706
15,1.88673,1.79771,0.726534,0.0,0.0,0.585759,0.295431
16,2.01184,1.88568,0.774296,0.0,0.0,0.615148,0.313752
17,2.13696,1.96889,0.823033,0.0,0.0,0.644086,0.331578
18,2.26207,2.05136,0.870601,0.0,0.0,0.672873,0.349071
19,2.38719,2.13358,0.917268,0.0,0.0,0.701477,0.366237
20,2.5123,2.21549,0.963186,0.0,0.0,0.729898,0.383135
21,2.63742,2.30024,1.00847,0.0,0.0,0.758202,0.399826
22,2.76253,2.38426,1.05318,0.0,0.0,0.786455,0.416307
23,2.88765,2.46758,1.09735,0.0,0.0,0.814642,0.432604
24,3.01276,2.55048,1.141,0.0,0.0,0.842753,0.448738
25,3.13788,2.63726,1.1842,0.0,0.0,0.870776,0.46473
26,3.26299,2.72149,1.22703,0.0,0.0,0.898774,0.480606
27,3.38811,2.8051,1.26953,0.0,0.0,0.926708,0.496378
28,3.51322,2.88835,1.31174,0.04302126326136534,0.009723391792984273,0.954629,0.512046
29,3.63834,2.97146,1.35373,0.05327490539778458,0.013819434316696346,0.982456,0.527634
30,3.76345,3.05439,1.39549,0.06451882438245476,0.02173376021832702,1.01024,0.54309
31,3.88857,3.13699,1.43696,0.08338212494853672,0.02842210141034481,1.03796,0.558477
32,4.01368,3.21929,1.47814,0.09565514677142264,0.03741452195447342,1.0656,0.573804
33,4.1388,3.30151,1.51913,0.11288645026811617,0.049319774861659976,1.09323,0.589076
34,4.26391,3.38365,1.55997,0.13174794330418776,0.06072965676885215,1.12092,0.604296
35,4.38903,3.46555,1.60065,0.1494713562155425,0.07214045066404742,1.14866,0.619476
36,4.51414,3.5475,1.64117,0.16720295956201173,0.08355033257123959,1.17639,0.634624
37,4.63926,3.62946,1.68162,0.18498257747626262,0.0958814022506102,1.20407,0.649746
38,4.76437,3.7116,1.72199,0.20276077438524548,0.10835099959554928,1.2317,0.664831
39,4.88949,3.79391,1.76231,0.22177272918740032,0.1208215936311881,1.25929,0.679867
40,5.0146,3.87605,1.80248,0.240993439068941,0.13472831938164295,1.28682,0.694844
41,5.13972,3.95776,1.84239,0.26021568525532407,0.15233524418492106,1.31433,0.709777
42,5.26483,4.0389,1.88207,0.28619923980210277,0.16994076178512996,1.34183,0.72468
43,5.38995,4.12061,1.92174,0.3124786147406605,0.18608876976220354,1.36932,0.739571
44,5.51507,4.20321,1.96158,0.3388646338692121,0.20223120487789156,1.3968,0.754421
45,5.64018,4.28663,2.00161,0.3668472889977767,0.2183723498373204,1.42428,0.769202
46,5.7653,4.37033,2.04168,0.3948321807705046,0.23507895395357378,1.45169,0.783983
47,5.89041,4.4538,2.08159,0.42198686799322505,0.25198872259888744,1.47904,0.798705
48,6.01553,4.53689,2.12128,0.44886151484654646,0.2688998428362916,1.50643,0.813474
49,6.14064,4.61981,2.16083,0.47573401379011304,0.2858096114816052,1.53376,0.82821
50,6.26576,4.70282,2.20032,0.5026086606434345,0.30272073171900943,1.56115,0.842936
51,6.39087,4.78613,2.23982,0.5324027849662085,0.31963050036432294,1.5885,0.857645
52,6.51599,4.86969,2.27935,0.5635024038806093,0.3392965049454223,1.61586,0.872346
53,6.6411,4.95339,2.31888,0.5945995372116567,0.35940273114106597,1.64323,0.887062
54,6.76622,5.03717,2.3584,0.6254164780254556,0.3795105644205716,1.67056,0.901723
55,6.89133,5.12096,2.39788,0.6552080954915394,0.39961679061621536,1.69787,0.916366
56,7.01645,5.20479,2.43734,0.6850020941915345,0.41972462389572096,1.72519,0.930994
57,7.14156,5.2887,2.47679,0.7147937116576182,0.43983085009136474,1.7525,0.945609
58,7.26668,5.37269,2.51621,0.7445877103576132,0.4599029035856977,1.77981,0.960217
59,7.39179,5.45676,2.55563,0.7743922211940836,0.47990302911128346,1.80711,0.974816
60,7.51691,5.54083,2.59501,0.807507976882794,0.4999047532401403,1.83438,0.989406
61,7.64202,5.62479,2.63435,0.8406210858519,0.5199048787657259,1.86161,1.00399
62,7.76714,5.70857,2.67363,0.8737368415406106,0.5399066028945829,1.88881,1.01856
