Energy sigmaCC sigmaNC
0.01 0 2.71092e-05
0.135115 0.00445713 0.0215248
0.26023 0.168191 0.0797762
0.385345 0.361239 0.136161
0.51046 0.538642 0.189905
0.635576 0.717118 0.239634
0.760691 0.871376 0.283292
0.885806 1.0009 0.322549
1.01092 1.12069 0.359387
1.13604 1.23204 0.39525
1.26115 1.3396 0.429857
1.38627 1.44092 0.462968
1.51138 1.53477 0.494908
1.6365 1.6246 0.525865
1.76161 1.71207 0.556015
1.88673 1.79771 0.585759
2.01184 1.88568 0.615148
2.13696 1.96889 0.644086
2.26207 2.05136 0.672873
2.38719 2.13358 0.701477
2.5123 2.21549 0.729898
2.63742 2.30024 0.758202
2.76253 2.38426 0.786455
2.88765 2.46758 0.814642
3.01276 2.55048 0.842753
3.13788 2.63726 0.870776
3.26299 2.72149 0.898774
3.38811 2.8051 0.926708
3.51322 2.88835 0.954629
3.63834 2.97146 0.982456
3.76345 3.05439 1.01024
3.88857 3.13699 1.03796
4.01368 3.21929 1.0656
4.1388 3.30151 1.09323
4.26391 3.38365 1.12092
4.38903 3.46555 1.14866
4.51414 3.5475 1.17639
4.63926 3.62946 1.20407
4.76437 3.7116 1.2317
4.88949 3.79391 1.25929
5.0146 3.87605 1.28682
5.13972 3.95776 1.31433
5.26483 4.0389 1.34183
5.38995 4.12061 1.36932
5.51507 4.20321 1.3968
5.64018 4.28663 1.42428
5.7653 4.37033 1.45169
5.89041 4.4538 1.47904
6.01553 4.53689 1.50643
6.14064 4.61981 1.53376
6.26576 4.70282 1.56115
6.39087 4.78613 1.5885
6.51599 4.86969 1.61586
6.6411 4.95339 1.64323
6.76622 5.03717 1.67056
6.89133 5.12096 1.69787
7.01645 5.20479 1.72519
7.14156 5.2887 1.7525
7.26668 5.37269 1.77981
7.39179 5.45676 1.80711
7.51691 5.54083 1.83438
7.64202 5.62479 1.86161
7.76714 5.70857 1.88881
7.89225 5.79215 1.91597
8.01737 5.87564 1.94311
8.14248 5.95923 1.97026
8.2676 6.04304 1.99744
8.39271 6.12721 2.02464
8.51783 6.21169 2.05185
8.64294 6.29647 2.07908
8.76806 6.38137 2.1063
8.89317 6.46619 2.13351
9.01829 6.55084 2.16069
9.1434 6.63527 2.18786
9.26852 6.71956 2.21502
9.39363 6.80379 2.24216
9.51875 6.88806 2.2693
9.64386 6.97229 2.29645
9.76898 7.0565 2.32359
9.89409 7.14096 2.35072
10.0192 7.22549 2.37786
10.1443 7.31003 2.40499
10.2694 7.39459 2.43211
10.3946 7.47914 2.45923
10.5197 7.56366 2.48633
10.6448 7.64818 2.51343
10.7699 7.73269 2.54051
10.895 7.81721 2.56761
11.0201 7.90172 2.59468
11.1452 7.98624 2.6217
11.2704 8.07077 2.64871
11.3955 8.15532 2.67576
11.5206 8.23988 2.70282
11.6457 8.32445 2.72983
11.7708 8.40905 2.75684
11.8959 8.49368 2.78386
12.0211 8.57832 2.8109
12.1462 8.66297 2.83793
12.2713 8.74763 2.86495
12.3964 8.83231 2.89196
12.5215 8.91698 2.91897
12.6466 9.00165 2.946
12.7717 9.08632 2.97302
12.8969 9.17098 3.00003
13.022 9.25564 3.02703
13.1471 9.3403 3.05402
13.2722 9.42497 3.08102
13.3973 9.50965 3.10801
13.5224 9.59434 3.135
13.6475 9.67904 3.16198
13.7727 9.76376 3.18897
13.8978 9.8485 3.21595
14.0229 9.93325 3.24293
14.148 10.018 3.2699
14.2731 10.1028 3.29687
14.3982 10.1876 3.32383
14.5234 10.2723 3.35079
14.6485 10.3571 3.37774
14.7736 10.4419 3.40469
14.8987 10.5267 3.43163
15.0238 10.6115 3.45856
15.1489 10.6963 3.48549
15.274 10.7811 3.51241
15.3992 10.8659 3.53932
15.5243 10.9507 3.56623
15.6494 11.0354 3.59314
15.7745 11.1202 3.62005
15.8996 11.205 3.64695
16.0247 11.2898 3.67386
16.1498 11.3745 3.70077
16.275 11.4593 3.72768
16.4001 11.544 3.7546
16.5252 11.6288 3.78152
16.6503 11.7135 3.80844
16.7754 11.7983 3.83536
16.9005 11.883 3.86229
17.0257 11.9678 3.88921
17.1508 12.0526 3.91613
17.2759 12.1374 3.94304
17.401 12.2222 3.96995
17.5261 12.307 3.99685
17.6512 12.3918 4.02375
17.7763 12.4766 4.05064
17.9015 12.5614 4.07752
18.0266 12.6462 4.1044
18.1517 12.731 4.13127
18.2768 12.8159 4.15814
18.4019 12.9007 4.18501
18.527 12.9855 4.21187
18.6522 13.0703 4.23873
18.7773 13.155 4.2656
18.9024 13.2398 4.29246
19.0275 13.3246 4.31933
19.1526 13.4094 4.3462
19.2777 13.4942 4.37306
19.4028 13.579 4.39993
19.528 13.6638 4.4268
19.6531 13.7486 4.45367
19.7782 13.8335 4.48053
19.9033 13.9183 4.5074
20.0284 14.0031 4.53425
20.1535 14.0879 4.56111
20.2786 14.1727 4.58795
20.4038 14.2575 4.6148
20.5289 14.3424 4.64163
20.654 14.4272 4.66845
20.7791 14.512 4.69527
20.9042 14.5968 4.72209
21.0293 14.6816 4.74891
21.1545 14.7664 4.77571
21.2796 14.8512 4.80251
21.4047 14.936 4.82929
21.5298 15.0208 4.85606
21.6549 15.1056 4.88282
21.78 15.1904 4.90959
21.9051 15.2752 4.93637
22.0303 15.3599 4.96316
22.1554 15.4447 4.98996
22.2805 15.5295 5.01675
22.4056 15.6142 5.04352
22.5307 15.699 5.07029
22.6558 15.7837 5.09706
22.781 15.8685 5.12383
22.9061 15.9532 5.15062
23.0312 16.0379 5.17741
23.1563 16.1227 5.2042
23.2814 16.2074 5.23098
23.4065 16.2922 5.25777
23.5316 16.3769 5.28454
23.6568 16.4617 5.31132
23.7819 16.5465 5.33809
23.907 16.6313 5.36486
24.0321 16.7161 5.39162
24.1572 16.8009 5.41838
24.2823 16.8858 5.44513
24.4074 16.9706 5.47189
24.5326 17.0555 5.49863
24.6577 17.1403 5.52538
24.7828 17.2252 5.55213
24.9079 17.3101 5.57889
