Energy sigmaCC sigmaNC
0.01 0 2.538e-05
0.135115 0.00380772 0.0200538
0.26023 0.148898 0.0742099
0.385345 0.319971 0.126958
0.51046 0.479142 0.178319
0.635576 0.645037 0.226583
0.760691 0.789074 0.269409
0.885806 0.912211 0.308306
1.01092 1.02728 0.34525
1.13604 1.13601 0.381663
1.26115 1.24342 0.417062
1.38627 1.34567 0.451089
1.51138 1.44104 0.483896
1.6365 1.53257 0.515633
1.76161 1.62144 0.546495
1.88673 1.70856 0.576833
2.01184 1.79774 0.606696
2.13696 1.88205 0.636013
2.26207 1.96568 0.665111
2.38719 2.04902 0.693982
2.5123 2.13193 0.722622
2.63742 2.21753 0.751074
2.76253 2.30226 0.779411
2.88765 2.38622 0.807635
3.01276 2.46973 0.835751
3.13788 2.55711 0.86379
3.26299 2.64186 0.891764
3.38811 2.72591 0.919659
3.51322 2.80954 0.947486
3.63834 2.89298 0.975277
3.76345 2.97623 1.00302
3.88857 3.05911 1.03067
4.01368 3.14166 1.05822
4.1388 3.22413 1.08576
4.26391 3.30654 1.11333
4.38903 3.38888 1.14093
4.51414 3.47106 1.16851
4.63926 3.5532 1.19605
4.76437 3.6355 1.22352
4.88949 3.71792 1.25094
5.0146 3.8002 1.2783
5.13972 3.88203 1.30564
5.26483 3.96361 1.33296
5.38995 4.04549 1.36028
5.51507 4.12818 1.38759
5.64018 4.21166 1.41489
5.7653 4.2954 1.44216
5.89041 4.37893 1.46942
6.01553 4.46205 1.49666
6.14064 4.545 1.52388
6.26576 4.62803 1.55109
6.39087 4.71134 1.57827
6.51599 4.79487 1.60545
6.6411 4.87856 1.63263
6.76622 4.96229 1.65979
6.89133 5.04603 1.68696
7.01645 5.12979 1.71411
7.14156 5.21362 1.74127
7.26668 5.29753 1.76842
7.39179 5.38154 1.79555
7.51691 5.46553 1.82265
7.64202 5.54944 1.84971
7.76714 5.63317 1.87673
7.89225 5.71668 1.90371
8.01737 5.80012 1.93067
8.14248 5.88362 1.95764
8.2676 5.96735 1.98463
8.39271 6.05143 2.01164
8.51783 6.13587 2.03867
8.64294 6.22054 2.06571
8.76806 6.3053 2.09274
8.89317 6.39 2.11976
9.01829 6.47454 2.14676
9.1434 6.55888 2.17373
9.26852 6.64309 2.2007
9.39363 6.72723 2.22765
9.51875 6.81135 2.2546
9.64386 6.89551 2.28154
9.76898 6.97974 2.30849
9.89409 7.06402 2.33543
10.0192 7.14835 2.36237
10.1443 7.23271 2.3893
10.2694 7.31708 2.41622
10.3946 7.40145 2.44314
10.5197 7.48583 2.47005
10.6448 7.57021 2.49695
10.7699 7.6546 2.52384
10.895 7.73899 2.55073
11.0201 7.8234 2.57761
11.1452 7.90782 2.60449
11.2704 7.99226 2.63137
11.3955 8.07671 2.65824
11.5206 8.16118 2.6851
11.6457 8.24566 2.71197
11.7708 8.33017 2.73882
11.8959 8.41469 2.76568
12.0211 8.49924 2.79252
12.1462 8.5838 2.81936
12.2713 8.66836 2.84619
12.3964 8.75291 2.87302
12.5215 8.83745 2.89985
12.6466 8.92197 2.92667
12.7717 9.00647 2.95349
12.8969 9.09095 2.9803
13.022 9.1754 3.00712
13.1471 9.25985 3.03394
13.2722 9.3443 3.06075
13.3973 9.42878 3.08757
13.5224 9.51327 3.11438
13.6475 9.59781 3.14118
13.7727 9.68239 3.16799
13.8978 9.76701 3.19479
14.0229 9.85166 3.22158
14.148 9.93635 3.24837
14.2731 10.0211 3.27516
14.3982 10.1058 3.30194
14.5234 10.1905 3.32871
14.6485 10.2752 3.35548
14.7736 10.3599 3.38224
14.8987 10.4446 3.40899
15.0238 10.5293 3.43574
15.1489 10.6139 3.46248
15.274 10.6986 3.48921
15.3992 10.7833 3.51593
15.5243 10.8679 3.54265
15.6494 10.9525 3.56937
15.7745 11.0372 3.59609
15.8996 11.1218 3.6228
16.0247 11.2065 3.64952
16.1498 11.2911 3.67624
16.275 11.3757 3.70296
16.4001 11.4604 3.72969
16.5252 11.545 3.75642
16.6503 11.6297 3.78315
16.7754 11.7143 3.80988
16.9005 11.7989 3.83661
17.0257 11.8836 3.86334
17.1508 11.9682 3.89007
17.2759 12.0529 3.91679
17.401 12.1375 3.94351
17.5261 12.2222 3.97022
17.6512 12.3068 3.99692
17.7763 12.3915 4.02361
17.9015 12.4762 4.0503
