Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.572 7.42e-05 0.0025 0.0 normal 13.886724397400368
0.304 0.022 0.572 7.42e-05 0.0025 0.3694117647058824 normal 16.00023322275378
0.304 0.022 0.572 7.42e-05 0.0025 0.7388235294117648 normal 16.270414203720673
0.304 0.022 0.572 7.42e-05 0.0025 1.1082352941176472 normal 14.48169740393239
0.304 0.022 0.572 7.42e-05 0.0025 1.4776470588235295 normal 11.234040100467992
0.304 0.022 0.572 7.42e-05 0.0025 1.8470588235294119 normal 7.420051270085984
0.304 0.022 0.572 7.42e-05 0.0025 2.2164705882352944 normal 4.128384896455485
0.304 0.022 0.572 7.42e-05 0.0025 2.5858823529411765 normal 1.8939054383619367
0.304 0.022 0.572 7.42e-05 0.0025 2.955294117647059 normal 0.7122430017498804
0.304 0.022 0.572 7.42e-05 0.0025 3.3247058823529416 normal 0.24229925856132162
0.304 0.022 0.572 7.42e-05 0.0025 3.6941176470588237 normal 0.07517222194210897
0.304 0.022 0.572 7.42e-05 0.0025 4.063529411764706 normal 0.011847245502925142
0.304 0.022 0.572 7.42e-05 0.0025 4.432941176470589 normal 0.26432608179494893
0.304 0.022 0.572 7.42e-05 0.0025 4.802352941176471 normal 1.2425052944550652
0.304 0.022 0.572 7.42e-05 0.0025 5.171764705882353 normal 3.126155363323337
0.304 0.022 0.572 7.42e-05 0.0025 5.541176470588236 normal 6.325984726178019
0.304 0.022 0.572 7.42e-05 0.0025 5.910588235294118 normal 10.258816694469827
0.304 0.022 0.572 7.42e-05 0.0025 6.28 normal 13.85533509243296
