Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 1399.409972189351
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 1081.1707263708115
0.304 0.022 0.305 7.42e-05 0.002 4.014 inverted 1362.5789706130502
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 832.7063217814612
0.304 0.022 0.305 7.42e-05 0.0021 4.014 inverted 1151.7552274637226
0.304 0.022 0.305 7.42e-05 0.00215 4.014 inverted 1060.9056000382093
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 783.6734147277427
0.304 0.022 0.305 7.42e-05 0.0022 4.014 inverted 987.3357423944485
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 705.3875020688389
0.304 0.022 0.305 7.42e-05 0.00245 4.014 inverted 780.4024162744332
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 741.7662638249622
0.304 0.022 0.305 7.42e-05 0.00205 4.014 inverted 1249.9281417968498
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 1284.5972709585653
0.304 0.022 0.305 7.42e-05 0.00235 4.014 inverted 849.6253299237844
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 inverted 812.3673250476662
0.304 0.022 0.305 7.42e-05 0.0023 4.014 inverted 887.8971294316796
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 999.7670247831707
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 1176.837011292152
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 937.2148699845266
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 712.4027795989879
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 881.9653532920601
0.304 0.022 0.305 7.42e-05 0.00255 4.014 inverted 762.1807674078045
0.304 0.022 0.305 7.42e-05 0.0025 4.014 inverted 761.6017222677149
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 inverted 930.445732872429
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 716.3662956824697
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 inverted 1110.1901263666557
0.304 0.022 0.305 7.42e-05 0.0028 4.014 inverted 954.5785125427374
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 1168.0449904173458
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 786.018044872624
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 940.8210777440371
0.304 0.022 0.305 7.42e-05 0.0026 4.014 inverted 781.0502998534398
