Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization X2 
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.9786343272862122 332.27489668334226
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 0.9803841503722625 233.31668715157042
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 0.9801749275073803 251.64319401115048
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 0.9790629507655941 300.78629305357543
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 0.9784490745251391 366.2862193727641
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 0.9796463506940563 274.35051036521116
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 0.9804833195357754 215.9143686743285
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 0.9805556534383768 201.05904637322985
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 0.9826493625036694 199.97053567535093
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 0.9816553564581518 168.4180134334041
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 0.9828535621727158 214.0854092543445
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 0.9807731387287186 186.58687778591639
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 0.9811602278250724 175.06157956678373
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 0.9825443414335164 186.6468841211585
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 0.9824297053368578 175.30545211000828
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 0.9821014218855051 169.48944899786144
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 0.982443126461075 288.18267580554505
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 0.983768316618255 256.4199291688742
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 0.9829039743139351 255.5983010797802
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 0.9822442896689619 323.5928532805122
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 0.9831759756166901 227.66669403614998
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 0.9841650206151897 292.18382729087773
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 0.9839943685099846 273.6944493870117
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 0.9834728705946632 240.56084998128043
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.9834994335768914 228.62355530535905
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 0.9844036756739505 168.14819270938344
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 0.9840624666853669 205.51181396611057
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 0.984279055442167 186.4081783377672
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 0.98471720252401 137.33087668498072
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 0.9851081151098201 125.71090332051523
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 0.9844860959175118 152.3576673837721
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 0.9856315982690206 119.30079890933267
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 0.9878623558171656 211.82121036904576
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 0.9861030933484086 120.7583365558308
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 0.9872307353982284 181.42565547324733
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 0.9875451379611246 195.4016825012996
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 0.9866873057178156 152.42704482650078
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 0.9864482352250896 127.16647182237236
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 0.986571013687806 138.77419530773125
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 0.9869054121746964 167.22838824751622
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 0.9875862114933207 171.18568722543768
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 0.985686737196824 292.2537400086785
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9878093394876891 151.35340162642115
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 0.9863630515976664 222.22230198684525
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 0.9859027666300347 255.51857590333663
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 0.9870017099934556 194.49826616313447
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 0.9881053485251177 229.76692227297718
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 0.9882843889420653 248.74176716939704
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 0.9902269078130519 103.07422397708275
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 0.9880471018975365 115.74640112067755
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 0.9897350975152057 84.19082233020478
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 0.9892384982340333 82.34032453681009
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 0.988697514820067 88.47669448075717
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 0.9879552245726558 132.37187269534925
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 0.9900908821735821 91.14991346695466
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9882808254864304 100.17933896018923
0.304 0.022 0.3383333333333333 7.42e-05 0.0027 4.014 normal 0.9903575440119495 117.0454661874837
0.304 0.022 0.3383333333333333 7.42e-05 0.003 4.014 normal 0.992029264529546 217.25120146953805
0.304 0.022 0.3383333333333333 7.42e-05 0.0028 4.014 normal 0.9909251602219343 147.43039626914646
0.304 0.022 0.3383333333333333 7.42e-05 0.0029000000000000002 4.014 normal 0.9915910401712706 179.43576904451484
0.304 0.022 0.355 7.42e-05 0.002 4.014 normal 0.9887676662650595 270.38227122007174
0.304 0.022 0.3383333333333333 7.42e-05 0.00275 4.014 normal 0.9905826411574622 132.42206407774896
0.304 0.022 0.3383333333333333 7.42e-05 0.00295 4.014 normal 0.991840522458445 197.77243352397548
0.304 0.022 0.3383333333333333 7.42e-05 0.00285 4.014 normal 0.9912608576762961 162.30226505955943
0.304 0.022 0.355 7.42e-05 0.0021 4.014 normal 0.9894876548867627 198.20636198099814
0.304 0.022 0.355 7.42e-05 0.0022 4.014 normal 0.990736979222406 146.68074573433378
0.304 0.022 0.355 7.42e-05 0.00205 4.014 normal 0.9890014024600857 232.45265978862912
0.304 0.022 0.355 7.42e-05 0.00215 4.014 normal 0.9901443028371391 170.13994672303338
0.304 0.022 0.355 7.42e-05 0.0022500000000000003 4.014 normal 0.9909745787652785 126.15887896776117
0.304 0.022 0.355 7.42e-05 0.0024000000000000002 4.014 normal 0.9914885742702948 73.14600396024967
0.304 0.022 0.355 7.42e-05 0.00235 4.014 normal 0.9912400233926874 89.12317731456494
0.304 0.022 0.355 7.42e-05 0.0023 4.014 normal 0.991142109432306 106.47655181932546
