Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization FluxNormalization X2 
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 0.9641278243343437 0.9810080118294322 356.24552392546184
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 0.96677029647072 0.9828120116003214 224.29212355137642
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 0.9665011959581131 0.9826139996253587 242.53404773924558
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.9645790577187282 0.9811450396673813 322.61227741622474
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 0.9681235431880791 0.9827721006470063 193.55220722730903
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 0.9657416023214411 0.9821279233229635 264.91641625697144
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 0.9653183057409066 0.9815170713668325 291.5596762581732
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 0.967606344005677 0.9827792621068615 207.85298841190794
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 0.9694426662544265 0.9832482696043104 168.40983383643075
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 0.9706323814390454 0.98414343715693 163.1324634261541
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 0.9719492730473057 0.9844305740880904 181.23505424280984
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 0.9724493221453019 0.9844654503523168 194.95918160498866
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 0.9701128663830941 0.9837113091404415 161.97233232069578
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 0.9714916197125002 0.9843769192529436 169.53274978538158
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 0.9687862882067445 0.9829098589600213 179.6168303822613
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 0.9727854331625038 0.9846459433803628 209.20609709308866
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 0.9692114781463119 0.9845654629421838 315.3615740015728
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 0.9752926443367014 0.9855430827496261 270.0666932346634
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 0.969686571647746 0.9847143944871045 280.30406681688726
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 0.9739567739786263 0.9851665055173962 236.21167709491195
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 0.9733878730978136 0.9849182289964801 223.06037588164574
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 0.9758980532111717 0.9856365511111704 288.9129481671933
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 0.9747033534509476 0.9853816405622766 252.47876729530043
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 0.9704597736552717 0.9851184439808714 248.11238766336874
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 0.9728413321403213 0.9864576798984772 161.7165118311645
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 0.9716871224048266 0.9862620071509552 198.12719365782044
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 0.9740707158219087 0.9866081421896065 131.89039444597125
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 0.9719718679561284 0.9864659068530146 179.10888669529479
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 0.9747489344919206 0.9869473401888851 120.56699892513538
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 0.9754512374451882 0.9874380117783048 114.34006396838642
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 0.9733810519063293 0.9864587682162637 146.43068819705192
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.9708968286719711 0.9857407944414514 220.95296084818287
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 0.9768873652706378 0.9881435103977902 122.8034915433924
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 0.978226437469838 0.9884445421976703 163.64206782215635
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 0.9778780421686385 0.988249813241404 148.72965684838672
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 0.9759909503842547 0.9878963420053664 115.86941732712361
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 0.9802192621226251 0.9892174770797116 209.05030883863233
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 0.9773549202430597 0.9882053340300132 134.7236609993099
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 0.9788550516362524 0.9887158511003128 178.08963856380126
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 0.9794468427967289 0.9889808641831008 192.28648835283155
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 0.9756124480404932 0.9890197771487514 188.29163683120214
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 0.9808332429344129 0.9893948492011485 227.26125960274035
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 0.9743558116407138 0.9879513876731448 249.12297302352988
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 0.9738648825682273 0.9877849263917577 285.5433822773227
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 0.9764298729785928 0.9895615571698044 165.23996825774142
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 0.9751553581845062 0.988350227882511 216.20662318821505
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 0.9814630187638179 0.989494384669849 246.53942890022867
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.976730982931961 0.9897702978731919 145.4939828188355
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9789065718587486 0.9899388247496728 96.0021277124896
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 0.9808968378622759 0.9912949904149763 80.49254261887546
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 0.9796114320612958 0.9903037068037568 84.55787352032145
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 0.9776318079672139 0.9897816548437219 127.29325852274448
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 0.9818180341949216 0.991550608009836 87.91553693390905
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 0.9803341730335828 0.9908113098010787 78.58222253118795
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 0.9781963605082962 0.9897897032679112 111.12736652393146
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 0.9823044197418861 0.9916249459939651 100.11075441389997
0.304 0.022 0.3383333333333333 7.42e-05 0.00275 4.014 normal 0.9832078254332035 0.9918840351558101 129.85859577004194
0.304 0.022 0.3383333333333333 7.42e-05 0.00295 4.014 normal 0.9859061616746905 0.9928875337481357 196.12102500656965
0.304 0.022 0.3383333333333333 7.42e-05 0.0029000000000000002 4.014 normal 0.9852682171946535 0.9927063100099357 177.55891642980285
0.304 0.022 0.3383333333333333 7.42e-05 0.0027 4.014 normal 0.9828476290206914 0.991683134143663 114.38527976990794
0.304 0.022 0.3383333333333333 7.42e-05 0.00285 4.014 normal 0.9844699589252667 0.9924585490866629 160.13401677343245
0.304 0.022 0.3383333333333333 7.42e-05 0.003 4.014 normal 0.986555494920392 0.9929956511832089 215.84771095041032
0.304 0.022 0.3383333333333333 7.42e-05 0.0028 4.014 normal 0.9838588847106811 0.9921717750232654 145.0799347272201
0.304 0.022 0.355 7.42e-05 0.002 4.014 normal 0.9780778577835426 0.9906583868986578 264.9403940510455
0.304 0.022 0.355 7.42e-05 0.00215 4.014 normal 0.9798857522834977 0.9919559837240182 165.1452402070764
0.304 0.022 0.355 7.42e-05 0.0024000000000000002 4.014 normal 0.9832933732094109 0.9929312089221589 69.9809173236367
0.304 0.022 0.355 7.42e-05 0.0023 4.014 normal 0.9819753135367024 0.9927574977686761 102.50531344568354
0.304 0.022 0.355 7.42e-05 0.0021 4.014 normal 0.9794102480062199 0.9912677889929927 193.38302125113165
0.304 0.022 0.355 7.42e-05 0.0022 4.014 normal 0.9807339533142184 0.992502463924022 141.9392499513484
0.304 0.022 0.355 7.42e-05 0.0022500000000000003 4.014 normal 0.981044954368888 0.9927267996576251 121.48928167608462
0.304 0.022 0.355 7.42e-05 0.00235 4.014 normal 0.9825559149455141 0.992769511197367 85.56373066747946
0.304 0.022 0.355 7.42e-05 0.00205 4.014 normal 0.9785896675635846 0.990841999377412 227.29560265723353
0.304 0.022 0.355 7.42e-05 0.0027 4.014 normal 0.987355160548153 0.9947530619189012 89.93298482601861
0.304 0.022 0.355 7.42e-05 0.0028 4.014 normal 0.9883958159957601 0.9952656068601557 121.8913860239473
0.304 0.022 0.355 7.42e-05 0.0025 4.014 normal 0.9847667799656513 0.9938393752951844 52.78040382596061
0.304 0.022 0.355 7.42e-05 0.0026 4.014 normal 0.986292458794371 0.9946029039281667 62.888129328785745
0.304 0.022 0.355 7.42e-05 0.00275 4.014 normal 0.9877296305190036 0.994968844814287 105.9281450161676
0.304 0.022 0.355 7.42e-05 0.00245 4.014 normal 0.9840213485845123 0.9933055940083003 58.422159999134664
0.304 0.022 0.355 7.42e-05 0.00265 4.014 normal 0.9867961767976254 0.9946848268368392 75.28588681030244
0.304 0.022 0.355 7.42e-05 0.00255 4.014 normal 0.9853457282164588 0.9943231046009968 54.97984032289667
0.304 0.022 0.355 7.42e-05 0.00295 4.014 normal 0.9907079476949867 0.9961112771737095 174.76419421256864
0.304 0.022 0.355 7.42e-05 0.003 4.014 normal 0.9913481258454372 0.9962049491023683 194.74512689467943
0.304 0.022 0.37166666666666665 7.42e-05 0.00205 4.014 normal 0.9823874524675665 0.9933684246317114 212.9084929851118
0.304 0.022 0.37166666666666665 7.42e-05 0.002 4.014 normal 0.9818543820809427 0.9931854901886509 251.62791376134524
0.304 0.022 0.37166666666666665 7.42e-05 0.0021 4.014 normal 0.9832239794753165 0.9938262961899254 178.2654099699304
0.304 0.022 0.37166666666666665 7.42e-05 0.00215 4.014 normal 0.9837222407022589 0.994537076612293 149.6741821636492
0.304 0.022 0.355 7.42e-05 0.00285 4.014 normal 0.9890278960817595 0.9955730406873757 137.76263011605107
0.304 0.022 0.355 7.42e-05 0.0029000000000000002 4.014 normal 0.9898476908866741 0.9958237497808645 155.65962738664857
0.304 0.022 0.37166666666666665 7.42e-05 0.0022500000000000003 4.014 normal 0.98491515135033 0.9953328751475943 105.23340541603872
0.304 0.022 0.37166666666666665 7.42e-05 0.0025 4.014 normal 0.9887419945146665 0.9965226242391747 34.96838269397723
0.304 0.022 0.37166666666666665 7.42e-05 0.0022 4.014 normal 0.9845892666173368 0.9951110169416516 126.22160376432608
0.304 0.022 0.37166666666666665 7.42e-05 0.00245 4.014 normal 0.9879762550456507 0.9959547452816457 40.27311452873466
0.304 0.022 0.37166666666666665 7.42e-05 0.00235 4.014 normal 0.9864660928307306 0.995395622153398 67.94744164693225
0.304 0.022 0.37166666666666665 7.42e-05 0.0023 4.014 normal 0.9858687802469672 0.9953766463052787 85.59369711317433
0.304 0.022 0.37166666666666665 7.42e-05 0.0024000000000000002 4.014 normal 0.9872260947810095 0.9955574255011953 51.921348661846366
