Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.002 1.3457142857142856 normal 506.17330706360787
0.304 0.022 0.305 7.42e-05 0.002 0.8971428571428571 normal 515.7085826086892
0.304 0.022 0.305 7.42e-05 0.002 0.0 normal 523.9198842878305
0.304 0.022 0.305 7.42e-05 0.002 0.0 inverted 482.30964458976575
0.304 0.022 0.305 7.42e-05 0.002 4.485714285714286 normal 496.25867459754454
0.304 0.022 0.305 7.42e-05 0.002 1.7942857142857143 normal 496.8319946873199
0.304 0.022 0.305 7.42e-05 0.002 2.242857142857143 inverted 477.5119524021204
0.304 0.022 0.305 7.42e-05 0.002 3.14 inverted 479.52884225653963
0.304 0.022 0.305 7.42e-05 0.002 1.3457142857142856 inverted 479.392101814266
0.304 0.022 0.305 7.42e-05 0.002 3.14 normal 486.33551400596684
0.304 0.022 0.305 7.42e-05 0.002 4.037142857142857 normal 491.1590771575816
0.304 0.022 0.305 7.42e-05 0.002 0.44857142857142857 normal 522.5810691232734
0.304 0.022 0.305 7.42e-05 0.002 0.8971428571428571 inverted 481.3028355394615
0.304 0.022 0.305 7.42e-05 0.002 3.5885714285714285 normal 487.939208466138
0.304 0.022 0.305 7.42e-05 0.002 4.934285714285714 inverted 476.381963361216
0.304 0.022 0.305 7.42e-05 0.002 4.037142857142857 inverted 477.95699636809604
0.304 0.022 0.305 7.42e-05 0.002 1.7942857142857143 inverted 477.75024297131307
0.304 0.022 0.305 7.42e-05 0.002 2.6914285714285713 inverted 478.80461449165244
0.304 0.022 0.305 7.42e-05 0.002 4.934285714285714 normal 503.848449655426
0.304 0.022 0.305 7.42e-05 0.002 3.5885714285714285 inverted 479.21760904113705
0.304 0.022 0.305 7.42e-05 0.002 2.242857142857143 normal 490.4026039397264
0.304 0.022 0.305 7.42e-05 0.002 4.485714285714286 inverted 476.8975596985494
