Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization FluxNormalization X2 
0.304 0.022 0.305 7.42e-05 0.002 4.014 inverted 0.9638459152220049 0.9800523033569231 333.8159992258718
0.304 0.022 0.305 7.42e-05 0.00235 4.014 inverted 0.968038637272055 0.9820341951188488 193.8118359266984
0.304 0.022 0.305 7.42e-05 0.0023 4.014 inverted 0.9673771370445384 0.9819660864242535 205.25138353463717
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 0.96677029647072 0.9828120116003214 224.29212355137642
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 inverted 0.966755099824106 0.9819130241879812 216.72510156744684
0.304 0.022 0.305 7.42e-05 0.00205 4.014 inverted 0.9644842223746938 0.9803488941072024 303.20975448686306
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 0.967606344005677 0.9827792621068615 207.85298841190794
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.9645790577187282 0.9811450396673813 322.61227741622474
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 0.9665011959581131 0.9826139996253587 242.53404773924558
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 0.9653183057409066 0.9815170713668325 291.5596762581732
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 0.9641278243343437 0.9810080118294322 356.24552392546184
0.304 0.022 0.305 7.42e-05 0.0021 4.014 inverted 0.9648015460418352 0.9807883655948567 276.3410229008932
0.304 0.022 0.305 7.42e-05 0.0022 4.014 inverted 0.9660968691700623 0.9817153899847292 231.81453912162988
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 0.9681235431880791 0.9827721006470063 193.55220722730903
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 0.9657416023214411 0.9821279233229635 264.91641625697144
0.304 0.022 0.305 7.42e-05 0.00215 4.014 inverted 0.9655138813550552 0.9813017373696711 251.41354554505952
0.304 0.022 0.305 7.42e-05 0.00245 4.014 inverted 0.9693252475892437 0.9827239028315534 176.11548332468894
0.304 0.022 0.305 7.42e-05 0.00265 4.014 inverted 0.9717779341874253 0.983928708563185 199.0563201649514
0.304 0.022 0.305 7.42e-05 0.0026 4.014 inverted 0.9714736624808189 0.983821444645631 185.82350143277768
0.304 0.022 0.305 7.42e-05 0.00275 4.014 inverted 0.9726852120271342 0.9842394485957402 232.38782078519915
0.304 0.022 0.305 7.42e-05 0.0027 4.014 inverted 0.9720820333547621 0.9840428087840289 214.83475114655863
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 0.9701128663830941 0.9837113091404415 161.97233232069578
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 0.9694426662544265 0.9832482696043104 168.40983383643075
0.304 0.022 0.305 7.42e-05 0.0025 4.014 inverted 0.969896927986078 0.9832464129450592 173.97958333463336
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 0.9714916197125002 0.9843769192529436 169.53274978538158
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 0.9687862882067445 0.9829098589600213 179.6168303822613
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 0.9727854331625038 0.9846459433803628 209.20609709308866
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 0.9724493221453019 0.9844654503523168 194.95918160498866
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 0.9706323814390454 0.98414343715693 163.1324634261541
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 0.9719492730473057 0.9844305740880904 181.23505424280984
0.304 0.022 0.305 7.42e-05 0.00255 4.014 inverted 0.9705842615989038 0.9836253516225835 177.48285793854996
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 inverted 0.9686699132815796 0.9822844773699767 183.41818126482394
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 0.969686571647746 0.9847143944871045 280.30406681688726
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 0.9704597736552717 0.9851184439808714 248.11238766336874
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 inverted 0.9690808036714804 0.9839542751197327 291.45930403272735
0.304 0.022 0.305 7.42e-05 0.00285 4.014 inverted 0.9739535476978542 0.9848467440426821 264.2748001527295
