Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 490.96958447660575
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 356.87033902273384
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 418.35965810981725
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 385.358416274039
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 336.3015612161413
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 454.7933251291848
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 302.22780290663565
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 317.84683320544883
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 258.30459522010904
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 285.47136780751185
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 280.2396638538071
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 292.44702336076114
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 269.94426523023816
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 267.90723529081714
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 254.99293577539015
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 257.6544303147156
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 341.83598802564126
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 326.52899215524053
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 407.69137866105353
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 333.48690940261133
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 303.0658820135666
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 313.28396710600066
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 370.38610398548343
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 358.8584109754512
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 301.11150091852437
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 216.33834000881996
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 252.1266514669482
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 199.39707042057822
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 174.0792643903549
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 273.07585604577054
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 232.8175351321062
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 184.60493279320306
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 212.62273949245548
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 199.36480779993457
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 236.42241531798132
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 175.8272165304063
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 224.56758193176987
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 186.54622277612432
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 250.7569303080336
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 171.95974405096217
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 284.98853468710075
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 239.21778606014766
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 346.58936821333043
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 271.4947601455614
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 308.2109083899814
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 267.1426669672161
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 211.9353896346304
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 190.6381024858446
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 112.88434926637062
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 117.00939108049826
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 111.95759188432307
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 122.1991492481735
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 136.458773127307
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 128.22227393900144
