Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV X2 
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 0.9515194755635554 0.9804579386260127 354.25908497691046
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.9521679888167174 0.9806065829242444 320.67385489391336
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 0.9580210897705167 0.9822236075133877 192.7418866187594
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 0.9556049981092518 0.9819996989390397 241.71420942423228
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 0.9541544781375365 0.9815426662277844 263.6312228246078
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 0.9535043561131658 0.9809644734898274 289.9954936526173
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 0.9557458762102412 0.9822138614884288 223.33568891947255
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 0.9572156286692161 0.9822073144586644 207.0359387308156
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 0.9602428607283217 0.9827411588692568 167.90337201727124
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 0.9653919185378896 0.9841494218077727 209.15631761959213
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 0.9591690989671463 0.9824119602983774 178.93270562339592
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 0.9613766880673592 0.9831845139168389 161.70524812235118
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 0.9619308685182365 0.983625712331157 162.85160882393103
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 0.9631347251238048 0.9838792168068801 169.25086244908877
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 0.9637025087846166 0.9839551890996219 180.88227353951342
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 0.9647581422453123 0.9839798575629384 194.78837965082127
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 0.9684825903842336 0.9848917056772897 252.66985319798795
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 0.9665061840690269 0.9844082813576301 223.18627005399875
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 0.9694082368966402 0.9850634691256419 270.28731223711054
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 0.9672351540463786 0.9846713287915614 236.31632627025735
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 0.9704624686276966 0.9851664558185743 289.18455437777897
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 0.9568881529169246 0.9841322925233187 313.03821247181395
