Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering SKFluxNormalization_Below1GeV SKFluxNormalization_Above1GeV ICFluxNormalization_Above1GeV X2 
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 0.9548081138457497 0.9739587048857101 0.981544158805821 288.9482627406339
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 0.9570541991074721 0.974256352291038 0.9826602701456498 240.44292998493364
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 0.9528211852062907 0.9734384344262951 0.9810342042066965 353.20570505313697
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 0.9585613091292511 0.9750251891770974 0.982814291375769 205.9411491515222
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 0.9593090942183818 0.975351125096001 0.9827996321975789 191.73914334605664
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 0.9555388281740972 0.9741280244480297 0.9821666792404782 262.4619870913317
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 0.9571582081517327 0.9746592551865311 0.9828560391723806 222.12527663177696
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.953439889345008 0.9737435777230232 0.9811681803962821 319.6668250111849
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 0.9658435620407793 0.9775987815014343 0.9845015658904513 193.98512964349337
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 0.9665072040388573 0.977656536431322 0.9846750548405897 208.32859692690465
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 0.9614802366531747 0.975965514713129 0.9832732968588367 166.94021226241122
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 0.962656230455597 0.9762215416217116 0.9837420877193646 160.689498685528
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 0.9631930126039786 0.9767254595100213 0.9841756482378471 161.8562558299675
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 0.9648487594534666 0.9777541271756587 0.984447911760811 180.07648920706168
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 0.9603918991173579 0.9756650964101351 0.9829331853262484 177.97765616024031
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 0.9643401617617781 0.9773436003300506 0.9844018316267604 168.35667913045188
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 0.9716044822944605 0.9769009088324428 0.9854872596677341 252.01531886601984
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 0.9705454870023869 0.9763629690835239 0.9852876335491422 235.6501748672922
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 0.9723857372937389 0.9773595774191802 0.9856397021026568 269.6603801643329
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 0.973256234659105 0.9777864312687634 0.9857205855349916 288.5790307917776
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 0.9676592442125858 0.9778070949747916 0.9849375826988166 222.33349657231383
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 0.9585745235098858 0.9787984721157013 0.9847280871500624 277.3966720691777
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 0.959998387613064 0.9790318339256077 0.9851370694619124 245.5450388540846
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 0.9579281876822501 0.9784731292097623 0.9845821022294113 312.3586077551147
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.960736720488711 0.9792225984540257 0.9857714093741297 218.53645532288422
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 0.9646321503290644 0.9805302256065023 0.98648000130556 144.6558842555535
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 0.9623013902562083 0.9793697484374961 0.9863018811355404 196.07627721187848
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 0.9680913206661177 0.9814598856397794 0.9874643136127693 113.09596155793575
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 0.9668622398918296 0.9811867143101863 0.9869665116633964 119.13292339473743
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 0.9638597369264825 0.9801841015700563 0.9864864875249199 159.8435179453626
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 0.9624093398581065 0.9797966035146283 0.9865029182634009 176.97861646875558
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 0.9657474967963309 0.9808670020213223 0.9866254048933275 130.28853410789387
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 0.9771709110016025 0.9823307389126302 0.9893352573660545 208.60931909526514
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 0.9739608956405449 0.9836722072660622 0.9890117707405804 191.62325122796415
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 0.973246256231567 0.9831539610982472 0.9887443129383852 177.39489897523674
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 0.9698402379910112 0.9826326575186451 0.9881644269192406 121.66664733279988
