Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 396.4406686026898
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 349.96965589904
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 504.68485740610413
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 inverted 365.6907728460716
0.304 0.022 0.305 7.42e-05 0.0022 4.014 inverted 389.01026879761423
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 296.11070247292906
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 465.5235519314926
0.304 0.022 0.305 7.42e-05 0.00205 4.014 inverted 491.26441736413483
0.304 0.022 0.305 7.42e-05 0.0023 4.014 inverted 348.1970471747764
0.304 0.022 0.305 7.42e-05 0.00245 4.014 inverted 295.8868951030029
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 428.6140560194644
0.304 0.022 0.305 7.42e-05 0.0021 4.014 inverted 455.1637386070269
0.304 0.022 0.305 7.42e-05 0.00215 4.014 inverted 418.80467272756385
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 332.07653203033607
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 543.0455280826645
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 372.465388793584
0.304 0.022 0.305 7.42e-05 0.00235 4.014 inverted 331.1620198827887
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 inverted 313.2872134729752
0.304 0.022 0.305 7.42e-05 0.002 4.014 inverted 529.9455862847951
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 313.6326719642881
0.304 0.022 0.305 7.42e-05 0.00255 4.014 inverted 278.63367851654994
0.304 0.022 0.305 7.42e-05 0.00275 4.014 inverted 317.3526185965356
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 273.6865261051578
0.304 0.022 0.305 7.42e-05 0.0025 4.014 inverted 283.0106257297024
0.304 0.022 0.305 7.42e-05 0.0028 4.014 inverted 327.67893363266734
0.304 0.022 0.305 7.42e-05 0.0026 4.014 inverted 281.5792102807883
