Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2
0.304 0.0 0.355 7.42e-05 0.00225 0.0 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 5.65488 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 1.25664 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 0.0 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 5.65488 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 1.25664 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 3.76992 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 1.88496 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 2.51328 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 3.76992 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 3.1416 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 1.88496 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 4.3982399999999995 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 0.62832 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 5.02656 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 2.51328 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 3.1416 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 0.62832 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 4.3982399999999995 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.00225 5.02656 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.00225 6.2832 normal 143.87288789608257
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 3.1416 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 2.51328 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 0.62832 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 1.25664 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 3.76992 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.00225 6.2832 inverted 132.41993009803787
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 0.62832 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 4.3982399999999995 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 1.88496 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 0.0 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 3.1416 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 1.88496 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 3.76992 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 2.51328 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 5.02656 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 0.0 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 4.3982399999999995 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 1.25664 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 5.02656 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.002361111111111111 0.62832 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 0.0 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 0.0 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.002361111111111111 1.25664 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 6.2832 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.002361111111111111 3.1416 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 5.65488 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 6.2832 inverted 115.20037357968809
0.304 0.0 0.355 7.42e-05 0.002361111111111111 4.3982399999999995 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 3.1416 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.002361111111111111 1.25664 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 2.51328 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.002361111111111111 4.3982399999999995 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.002361111111111111 3.76992 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.002361111111111111 3.76992 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 1.88496 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.0023055555555555555 5.65488 normal 123.48197264392972
0.304 0.0 0.355 7.42e-05 0.002361111111111111 2.51328 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 1.88496 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 0.62832 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 3.76992 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.002361111111111111 5.65488 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 2.51328 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 1.88496 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 1.88496 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.002361111111111111 5.65488 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 1.25664 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.002361111111111111 5.02656 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 3.1416 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 3.76992 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.002361111111111111 6.2832 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 3.1416 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 0.62832 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.002361111111111111 5.02656 inverted 99.06515637044215
0.304 0.0 0.355 7.42e-05 0.002361111111111111 6.2832 normal 107.33468644863504
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 2.51328 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 0.0 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 0.62832 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 1.25664 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 0.0 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.002472222222222222 0.0 inverted 75.42917193976862
0.304 0.0 0.355 7.42e-05 0.002472222222222222 1.88496 normal 79.66794903007627
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 4.3982399999999995 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.002472222222222222 0.0 normal 79.66794903007627
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 6.2832 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 5.65488 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 5.02656 inverted 85.57426220387593
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 5.02656 normal 92.20785408888744
0.304 0.0 0.355 7.42e-05 0.002472222222222222 1.88496 inverted 75.42917193976862
0.304 0.0 0.355 7.42e-05 0.002472222222222222 0.62832 normal 79.66794903007627
0.304 0.0 0.355 7.42e-05 0.002472222222222222 3.1416 normal 79.66794903007627
0.304 0.0 0.355 7.42e-05 0.002472222222222222 2.51328 normal 79.66794903007627
0.304 0.0 0.355 7.42e-05 0.0024166666666666664 5.65488 inverted 85.57426220387593
