Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.002 0.0 inverted 482.30964458976575
0.304 0.022 0.305 7.42e-05 0.002 2.242857142857143 inverted 477.5119524021204
0.304 0.022 0.305 7.42e-05 0.002 3.14 inverted 479.52884225653963
0.304 0.022 0.305 7.42e-05 0.002 1.3457142857142856 inverted 479.392101814266
0.304 0.022 0.305 7.42e-05 0.002 0.8971428571428571 inverted 481.3028355394615
0.304 0.022 0.305 7.42e-05 0.002 4.934285714285714 inverted 476.381963361216
0.304 0.022 0.305 7.42e-05 0.002 4.037142857142857 inverted 477.95699636809604
0.304 0.022 0.305 7.42e-05 0.002 1.7942857142857143 inverted 477.75024297131307
0.304 0.022 0.305 7.42e-05 0.002 2.6914285714285713 inverted 478.80461449165244
0.304 0.022 0.305 7.42e-05 0.002 3.5885714285714285 inverted 479.21760904113705
0.304 0.022 0.305 7.42e-05 0.002 4.485714285714286 inverted 476.8975596985494
0.304 0.022 0.305 7.42e-05 0.002 0.44857142857142857 inverted 482.23589103633844
0.304 0.022 0.305 7.42e-05 0.002 5.382857142857143 inverted 477.38659253611064
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 0.0 inverted 433.819852617904
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 0.44857142857142857 inverted 434.1717282410833
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 0.8971428571428571 inverted 432.6051768196882
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 2.242857142857143 inverted 428.9191414812209
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 1.3457142857142856 inverted 430.3799957077778
0.304 0.022 0.305 7.42e-05 0.002 6.28 inverted 482.3038993531553
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 1.7942857142857143 inverted 428.7655547852465
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 3.5885714285714285 inverted 430.9181790095658
0.304 0.022 0.305 7.42e-05 0.002 5.831428571428571 inverted 479.9126892215064
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 3.14 inverted 431.02711265854606
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 2.6914285714285713 inverted 429.85442472968816
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 4.934285714285714 inverted 428.0995603240803
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 4.037142857142857 inverted 429.46498432792106
0.304 0.022 0.305 7.42e-05 0.002142857142857143 0.0 inverted 387.2118373470968
0.304 0.022 0.305 7.42e-05 0.002142857142857143 0.8971428571428571 inverted 386.17160208196395
0.304 0.022 0.305 7.42e-05 0.002142857142857143 1.3457142857142856 inverted 384.21706174667673
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 4.485714285714286 inverted 428.63961880114954
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 5.382857142857143 inverted 429.3518418586224
0.304 0.022 0.305 7.42e-05 0.002142857142857143 1.7942857142857143 inverted 382.9370488442746
0.304 0.022 0.305 7.42e-05 0.002142857142857143 0.44857142857142857 inverted 387.5568419087884
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 5.831428571428571 inverted 431.5208666139467
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 6.28 inverted 433.8091477767858
0.304 0.022 0.305 7.42e-05 0.002142857142857143 2.242857142857143 inverted 382.96000510563243
0.304 0.022 0.305 7.42e-05 0.002142857142857143 2.6914285714285713 inverted 383.8578430995019
0.304 0.022 0.305 7.42e-05 0.002142857142857143 5.382857142857143 inverted 382.70278879478417
0.304 0.022 0.305 7.42e-05 0.002142857142857143 4.485714285714286 inverted 382.1709470626488
0.304 0.022 0.305 7.42e-05 0.002142857142857143 4.934285714285714 inverted 381.58819075323674
0.304 0.022 0.305 7.42e-05 0.002142857142857143 4.037142857142857 inverted 383.50809931030295
0.304 0.022 0.305 7.42e-05 0.002142857142857143 6.28 inverted 387.202219723804
0.304 0.022 0.305 7.42e-05 0.002142857142857143 5.831428571428571 inverted 384.9997160076104
0.304 0.022 0.305 7.42e-05 0.002142857142857143 3.14 inverted 384.5006528752893
0.304 0.022 0.305 7.42e-05 0.002142857142857143 3.5885714285714285 inverted 384.58391913457064
0.304 0.022 0.305 7.42e-05 0.002214285714285714 0.44857142857142857 inverted 351.8620688216138
0.304 0.022 0.305 7.42e-05 0.002214285714285714 0.8971428571428571 inverted 351.10718506743643
0.304 0.022 0.305 7.42e-05 0.002214285714285714 0.0 inverted 351.78165076410284
0.304 0.022 0.305 7.42e-05 0.002214285714285714 1.3457142857142856 inverted 348.92576820143177
0.304 0.022 0.305 7.42e-05 0.002214285714285714 2.242857142857143 inverted 347.52705302478546
0.304 0.022 0.305 7.42e-05 0.002214285714285714 4.485714285714286 inverted 347.2121462223536
0.304 0.022 0.305 7.42e-05 0.002214285714285714 6.28 inverted 351.79033462155763
0.304 0.022 0.305 7.42e-05 0.002214285714285714 4.037142857142857 inverted 348.45478420169127
0.304 0.022 0.305 7.42e-05 0.002214285714285714 1.7942857142857143 inverted 347.64713068750746
0.304 0.022 0.305 7.42e-05 0.002214285714285714 3.14 inverted 349.5842761735729
0.304 0.022 0.305 7.42e-05 0.002214285714285714 5.831428571428571 inverted 349.77718987229764
0.304 0.022 0.305 7.42e-05 0.002214285714285714 2.6914285714285713 inverted 348.39478236153093
0.304 0.022 0.305 7.42e-05 0.002214285714285714 4.934285714285714 inverted 346.68410738306403
0.304 0.022 0.305 7.42e-05 0.002214285714285714 3.5885714285714285 inverted 349.6169345844061
0.304 0.022 0.305 7.42e-05 0.002214285714285714 5.382857142857143 inverted 347.8127314564161
0.304 0.022 0.305 7.42e-05 0.002285714285714286 0.0 inverted 330.033562467512
0.304 0.022 0.305 7.42e-05 0.002285714285714286 1.3457142857142856 inverted 326.89796022748186
0.304 0.022 0.305 7.42e-05 0.002285714285714286 2.242857142857143 inverted 324.9532911701722
0.304 0.022 0.305 7.42e-05 0.002285714285714286 0.8971428571428571 inverted 328.86942778582403
0.304 0.022 0.305 7.42e-05 0.002285714285714286 4.037142857142857 inverted 326.1698730249529
0.304 0.022 0.305 7.42e-05 0.002285714285714286 0.44857142857142857 inverted 330.22506495789185
0.304 0.022 0.305 7.42e-05 0.002285714285714286 3.14 inverted 327.17971165296854
0.304 0.022 0.305 7.42e-05 0.002285714285714286 3.5885714285714285 inverted 326.8707775375719
0.304 0.022 0.305 7.42e-05 0.002285714285714286 4.934285714285714 inverted 324.2173387270774
0.304 0.022 0.305 7.42e-05 0.002285714285714286 1.7942857142857143 inverted 324.98961804378627
0.304 0.022 0.305 7.42e-05 0.002285714285714286 2.6914285714285713 inverted 326.18102037485585
0.304 0.022 0.305 7.42e-05 0.002285714285714286 4.485714285714286 inverted 325.03924496303387
0.304 0.022 0.305 7.42e-05 0.002357142857142857 3.14 inverted 306.64257569497585
0.304 0.022 0.305 7.42e-05 0.002285714285714286 6.28 inverted 330.03209637490374
0.304 0.022 0.305 7.42e-05 0.002285714285714286 5.382857142857143 inverted 325.7494920101284
0.304 0.022 0.305 7.42e-05 0.002357142857142857 3.5885714285714285 inverted 306.89340934611096
0.304 0.022 0.305 7.42e-05 0.002357142857142857 0.44857142857142857 inverted 309.59337971162086
0.304 0.022 0.305 7.42e-05 0.002357142857142857 0.8971428571428571 inverted 308.2965160172735
0.304 0.022 0.305 7.42e-05 0.002357142857142857 2.242857142857143 inverted 305.0147652266141
0.304 0.022 0.305 7.42e-05 0.002357142857142857 1.3457142857142856 inverted 306.59107007539967
0.304 0.022 0.305 7.42e-05 0.002357142857142857 2.6914285714285713 inverted 305.71251377719153
0.304 0.022 0.305 7.42e-05 0.002285714285714286 5.831428571428571 inverted 327.8296558357951
0.304 0.022 0.305 7.42e-05 0.002357142857142857 0.0 inverted 309.780214559919
0.304 0.022 0.305 7.42e-05 0.002357142857142857 1.7942857142857143 inverted 305.3510876647207
0.304 0.022 0.305 7.42e-05 0.002357142857142857 4.037142857142857 inverted 306.4357444735833
0.304 0.022 0.305 7.42e-05 0.002428571428571429 2.242857142857143 inverted 285.86360499246206
0.304 0.022 0.305 7.42e-05 0.002428571428571429 1.7942857142857143 inverted 285.9447160030228
0.304 0.022 0.305 7.42e-05 0.002428571428571429 0.0 inverted 291.00861852244793
0.304 0.022 0.305 7.42e-05 0.002357142857142857 4.934285714285714 inverted 304.6702489604906
0.304 0.022 0.305 7.42e-05 0.002357142857142857 5.382857142857143 inverted 305.6023370330189
0.304 0.022 0.305 7.42e-05 0.002357142857142857 6.28 inverted 309.7948286617686
0.304 0.022 0.305 7.42e-05 0.002357142857142857 5.831428571428571 inverted 307.56712574685037
0.304 0.022 0.305 7.42e-05 0.002428571428571429 0.8971428571428571 inverted 289.86898648369095
0.304 0.022 0.305 7.42e-05 0.002428571428571429 1.3457142857142856 inverted 287.3372007157864
0.304 0.022 0.305 7.42e-05 0.002428571428571429 0.44857142857142857 inverted 290.9783982939977
0.304 0.022 0.305 7.42e-05 0.002357142857142857 4.485714285714286 inverted 305.27585801118914
0.304 0.022 0.305 7.42e-05 0.002428571428571429 2.6914285714285713 inverted 286.75121644691484
0.304 0.022 0.305 7.42e-05 0.002428571428571429 3.5885714285714285 inverted 288.11249342198636
0.304 0.022 0.305 7.42e-05 0.002428571428571429 4.037142857142857 inverted 287.33083409061663
0.304 0.022 0.305 7.42e-05 0.002428571428571429 4.485714285714286 inverted 286.3778540117861
0.304 0.022 0.305 7.42e-05 0.0025 0.0 inverted 277.8959595793669
0.304 0.022 0.305 7.42e-05 0.002428571428571429 4.934285714285714 inverted 285.9038857266311
0.304 0.022 0.305 7.42e-05 0.002428571428571429 3.14 inverted 287.8059541646533
0.304 0.022 0.305 7.42e-05 0.002428571428571429 6.28 inverted 290.9998096183423
0.304 0.022 0.305 7.42e-05 0.002428571428571429 5.831428571428571 inverted 289.3303884958358
0.304 0.022 0.305 7.42e-05 0.002428571428571429 5.382857142857143 inverted 287.2053424448325
0.304 0.022 0.305 7.42e-05 0.0025 0.8971428571428571 inverted 276.58576458000255
0.304 0.022 0.305 7.42e-05 0.0025 0.44857142857142857 inverted 278.0002034072488
0.304 0.022 0.305 7.42e-05 0.0025 1.3457142857142856 inverted 273.8916223017226
0.304 0.022 0.305 7.42e-05 0.0025 4.037142857142857 inverted 274.3541151216772
0.304 0.022 0.305 7.42e-05 0.0025 4.934285714285714 inverted 273.18734443858943
0.304 0.022 0.305 7.42e-05 0.0025 3.14 inverted 274.7035507937073
0.304 0.022 0.305 7.42e-05 0.0025 5.382857142857143 inverted 274.1893972459724
0.304 0.022 0.305 7.42e-05 0.0025 1.7942857142857143 inverted 272.52580882995073
0.304 0.022 0.305 7.42e-05 0.0025 6.28 inverted 277.91708176067857
0.304 0.022 0.305 7.42e-05 0.0025 2.242857142857143 inverted 272.22023510789086
0.304 0.022 0.305 7.42e-05 0.0025 5.831428571428571 inverted 276.12064322440534
0.304 0.022 0.305 7.42e-05 0.0025 2.6914285714285713 inverted 273.2744335078961
0.304 0.022 0.305 7.42e-05 0.0025 4.485714285714286 inverted 273.4997200640717
0.304 0.022 0.305 7.42e-05 0.0025 3.5885714285714285 inverted 274.64790772183267
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 0.44857142857142857 inverted 277.4343841700873
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 2.242857142857143 inverted 271.64798111137253
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 2.6914285714285713 inverted 272.60923673983586
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 1.7942857142857143 inverted 272.0685320214617
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 0.0 inverted 277.573733132678
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 1.3457142857142856 inverted 273.80434832627924
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 0.8971428571428571 inverted 275.9974616620516
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 4.037142857142857 inverted 274.3525219248473
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 4.934285714285714 inverted 272.9844996154437
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 3.5885714285714285 inverted 274.6376880794409
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 3.14 inverted 274.0996302871379
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 4.485714285714286 inverted 273.29888970384354
0.304 0.022 0.305 7.42e-05 0.002642857142857143 1.3457142857142856 inverted 286.66474756224164
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 5.831428571428571 inverted 275.87977980137543
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 5.382857142857143 inverted 274.02894512490474
0.304 0.022 0.305 7.42e-05 0.0025714285714285717 6.28 inverted 277.5651689607887
0.304 0.022 0.305 7.42e-05 0.002642857142857143 0.8971428571428571 inverted 288.75456099466174
0.304 0.022 0.305 7.42e-05 0.002642857142857143 2.6914285714285713 inverted 285.9525538829048
0.304 0.022 0.305 7.42e-05 0.002642857142857143 1.7942857142857143 inverted 285.160465862099
0.304 0.022 0.305 7.42e-05 0.002642857142857143 0.0 inverted 290.49131159540934
0.304 0.022 0.305 7.42e-05 0.002642857142857143 2.242857142857143 inverted 285.09218052762105
