Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.002 1.3457142857142856 normal 506.17330706360787
0.304 0.022 0.305 7.42e-05 0.002 0.8971428571428571 normal 515.7085826086892
0.304 0.022 0.305 7.42e-05 0.002 0.0 normal 523.9198842878305
0.304 0.022 0.305 7.42e-05 0.002 4.485714285714286 normal 496.25867459754454
0.304 0.022 0.305 7.42e-05 0.002 1.7942857142857143 normal 496.8319946873199
0.304 0.022 0.305 7.42e-05 0.002 3.14 normal 486.33551400596684
0.304 0.022 0.305 7.42e-05 0.002 4.037142857142857 normal 491.1590771575816
0.304 0.022 0.305 7.42e-05 0.002 0.44857142857142857 normal 522.5810691232734
0.304 0.022 0.305 7.42e-05 0.002 3.5885714285714285 normal 487.939208466138
0.304 0.022 0.305 7.42e-05 0.002 4.934285714285714 normal 503.848449655426
0.304 0.022 0.305 7.42e-05 0.002 2.242857142857143 normal 490.4026039397264
0.304 0.022 0.305 7.42e-05 0.002 2.6914285714285713 normal 486.63100021023916
0.304 0.022 0.305 7.42e-05 0.002 6.28 normal 523.9027273277205
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 0.0 normal 471.8293988387355
0.304 0.022 0.305 7.42e-05 0.002 5.382857142857143 normal 512.2716099482728
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 0.8971428571428571 normal 463.732559472841
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 1.3457142857142856 normal 453.7577182869938
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 3.5885714285714285 normal 435.98405621091655
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 2.6914285714285713 normal 434.95195923771576
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 0.44857142857142857 normal 470.0709761435553
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 2.242857142857143 normal 438.0863187210763
0.304 0.022 0.305 7.42e-05 0.0020714285714285713 1.7942857142857143 normal 445.00127274581814
