Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2
0.304 0.0 0.305 7.42e-05 0.002125 4.014 normal 312.95822823290416
0.304 0.0 0.305 7.42e-05 0.0022083333333333334 4.014 normal 264.9480201652697
0.304 0.0 0.305 7.42e-05 0.0020833333333333333 4.014 inverted 321.3113561904085
0.304 0.0 0.305 7.42e-05 0.0022500000000000003 4.014 normal 248.27185476957172
0.304 0.0 0.305 7.42e-05 0.002041666666666667 4.014 normal 367.44478000740827
0.304 0.0 0.305 7.42e-05 0.002375 4.014 normal 219.64341088134725
0.304 0.0 0.305 7.42e-05 0.0022083333333333334 4.014 inverted 252.76085580472477
0.304 0.0 0.305 7.42e-05 0.002 4.014 normal 395.50456776950153
0.304 0.0 0.305 7.42e-05 0.0022916666666666667 4.014 inverted 230.53810859104948
0.304 0.0 0.305 7.42e-05 0.002125 4.014 inverted 294.76253112765653
0.304 0.0 0.305 7.42e-05 0.0023333333333333335 4.014 normal 227.99077799633454
0.304 0.0 0.305 7.42e-05 0.0022916666666666667 4.014 normal 236.65683162907828
0.304 0.0 0.305 7.42e-05 0.0022500000000000003 4.014 inverted 239.7699657307313
0.304 0.0 0.305 7.42e-05 0.002041666666666667 4.014 inverted 348.46371490379266
0.304 0.0 0.305 7.42e-05 0.0021666666666666666 4.014 inverted 271.212772733542
0.304 0.0 0.305 7.42e-05 0.002375 4.014 inverted 213.35208601989308
0.304 0.0 0.305 7.42e-05 0.002 4.014 inverted 375.66617228532226
0.304 0.0 0.305 7.42e-05 0.0021666666666666666 4.014 normal 286.99012595100606
0.304 0.0 0.305 7.42e-05 0.0020833333333333333 4.014 normal 340.3064339161335
0.304 0.0 0.305 7.42e-05 0.0023333333333333335 4.014 inverted 222.31324039759815
0.304 0.0 0.305 7.42e-05 0.002541666666666667 4.014 normal 188.7679400075801
0.304 0.0 0.305 7.42e-05 0.002416666666666667 4.014 inverted 203.71645700274684
0.304 0.0 0.305 7.42e-05 0.002625 4.014 inverted 205.81906038150004
0.304 0.0 0.305 7.42e-05 0.0026666666666666666 4.014 normal 209.87536709732274
0.304 0.0 0.305 7.42e-05 0.002458333333333333 4.014 inverted 194.94518747633796
0.304 0.0 0.305 7.42e-05 0.0025833333333333333 4.014 inverted 195.28550156629683
0.304 0.0 0.305 7.42e-05 0.002541666666666667 4.014 inverted 189.45233346730933
0.304 0.0 0.305 7.42e-05 0.0026666666666666666 4.014 inverted 218.56357596403137
0.304 0.0 0.305 7.42e-05 0.0025 4.014 inverted 189.51470262666854
0.304 0.0 0.305 7.42e-05 0.0025833333333333333 4.014 normal 190.56610107736813
0.304 0.0 0.305 7.42e-05 0.002416666666666667 4.014 normal 210.4013235473454
0.304 0.0 0.305 7.42e-05 0.00275 4.014 normal 235.70829971284815
0.304 0.0 0.305 7.42e-05 0.0025 4.014 normal 192.75324369968038
0.304 0.0 0.305 7.42e-05 0.002625 4.014 normal 198.20290645832281
0.304 0.0 0.305 7.42e-05 0.002458333333333333 4.014 normal 200.80240958593524
0.304 0.0 0.305 7.42e-05 0.0027916666666666667 4.014 normal 247.8466038436081
0.304 0.0 0.305 7.42e-05 0.00275 4.014 inverted 244.15149607214434
