Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV X2 
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 1.0 0.9815472739582596 205.5647526132486
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 1.0 0.9828437515216643 141.4317714571219
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.9999999999846162 0.9811763622325078 234.6351972252416
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 1.0 0.9827970941759935 113.45520495029116
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 1.0 0.9828067780962478 126.83579854397577
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 1.0 0.9821600861023724 179.9992233206769
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 1.0 0.9826457220374869 159.00341051732872
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 1.0 0.9810405989044104 266.75844990170543
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 1.0 0.9841655372327053 86.68520239774827
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 1.0 0.983733029504018 85.14790705918556
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 1.0 0.9846614720309227 132.57825596730902
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 1.0 0.9844484521081022 105.53840690562778
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 1.0 0.9844813476742825 118.856590798485
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 1.0 0.982932611414521 100.6556033296226
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 1.0 0.9843965326886827 94.05213053860048
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 1.0 0.9832701310661003 90.3549334124408
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 1.0 0.9855535769640921 193.4789825508689
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 1.0 0.9851479408322863 182.75609951542674
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 1.0 0.9853935091381103 176.14282164182416
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 1.0 0.984597184302011 246.60579710442576
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 1.0 0.9851801552854582 160.36873893534676
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 1.0 0.984744859049712 213.0076360514908
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 1.0 0.9856453845852537 212.42094932500945
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 1.0 0.9849328072479689 146.4503359396399
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 1.0 0.9864849194931071 101.17185103567225
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 1.0 0.9874594889096072 57.671534172204844
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 1.0 0.9864973287646724 116.9254048509388
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 1.0 0.9869687728431558 62.80420871268547
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 1.0 0.9862933963745042 135.23756329277927
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 1.0 0.9866304857172082 73.2910807101739
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 1.0 0.9864834052055316 86.78902294407334
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.999999999984318 0.9857724043826342 156.76466019232552
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 1.0 0.9882654284154504 92.06395782201024
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 1.0 0.9892290280757601 151.45655106777804
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 1.0 0.9879184413021865 59.37695933415072
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 1.0 0.988223066891439 78.56060733670613
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 0.9999999999952595 0.9884598644972209 106.38547066040178
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 1.0 0.988994238326196 135.28178659473195
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 1.0 0.9887301285150188 120.60445281593493
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 1.0 0.988163032867192 66.9278438963949
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 1.0 0.98781635636181 232.93115859861493
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 1.0 0.989593035607628 118.44006991233142
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 1.0 0.9883795243355555 166.96438255650804
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 1.0 0.9879816852893208 197.96105866652172
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9999999999937202 0.9898017778117608 99.40917891313848
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 1.0 0.9894049573259186 169.27420249107905
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 1.0 0.9895026579201213 188.43166652885787
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 1.0 0.9890513934450577 140.27010563377567
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9999999999968591 0.9899615013638922 53.20376064136299
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 1.0 0.9898092718400086 82.66678980293293
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 1.0 0.9908334764749566 37.51746750844932
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 1.0 0.991318006328968 39.41762620858105
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 1.0 0.9903256352105798 42.49740703828823
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 1.0 0.9898147266248738 67.3741184382436
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 1.0 0.9915710714958004 47.13667035663531
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 1.0 0.9916435891688724 58.916624544454265
0.304 0.022 0.3383333333333333 7.42e-05 0.0028 4.014 normal 1.0 0.9921869588726255 102.18954231494683
0.304 0.022 0.3383333333333333 7.42e-05 0.00275 4.014 normal 1.0 0.9919002165527977 87.4214015719593
0.304 0.022 0.3383333333333333 7.42e-05 0.00295 4.014 normal 1.0 0.9928983030247509 152.20036701982067
0.304 0.022 0.3383333333333333 7.42e-05 0.003 4.014 normal 1.0 0.9930043071623 171.5994481273038
0.304 0.022 0.3383333333333333 7.42e-05 0.00285 4.014 normal 0.9999999999936751 0.9924729362706156 117.45174963159823
0.304 0.022 0.355 7.42e-05 0.002 4.014 normal 1.0 0.9906895527556597 224.58156644030757
0.304 0.022 0.3383333333333333 7.42e-05 0.0027 4.014 normal 1.0 0.9916995578477539 72.61469313354256
0.304 0.022 0.3383333333333333 7.42e-05 0.0029000000000000002 4.014 normal 1.0 0.992718728605577 134.18131894413946
0.304 0.022 0.355 7.42e-05 0.0022 4.014 normal 1.0 0.992532964372832 107.32787748933576
0.304 0.022 0.355 7.42e-05 0.00215 4.014 normal 0.99999999999194 0.9919870198811033 129.39963984449753
0.304 0.022 0.355 7.42e-05 0.00235 4.014 normal 0.9999999999976648 0.9927951059743975 53.85556654263089
0.304 0.022 0.355 7.42e-05 0.0024000000000000002 4.014 normal 1.0 0.9929547328655475 39.11451577591597
0.304 0.022 0.355 7.42e-05 0.00205 4.014 normal 1.0 0.9908721997720712 188.37200843598066
0.304 0.022 0.355 7.42e-05 0.0023 4.014 normal 0.9999999999936704 0.9927851974616708 69.92175908115011
0.304 0.022 0.355 7.42e-05 0.0022500000000000003 4.014 normal 1.0 0.9927571286122695 87.63875928386692
0.304 0.022 0.355 7.42e-05 0.0021 4.014 normal 0.9999999999839297 0.9912971755933038 156.3615181553433
0.304 0.022 0.355 7.42e-05 0.0026 4.014 normal 1.0 0.9946244284323202 33.36192200536974
0.304 0.022 0.355 7.42e-05 0.0028 4.014 normal 1.0 0.9952826345797819 89.7875211131771
0.304 0.022 0.355 7.42e-05 0.0025 4.014 normal 1.0 0.9938624624125301 23.46017703267418
0.304 0.022 0.355 7.42e-05 0.00275 4.014 normal 1.0 0.9949867470385458 74.49305272436312
0.304 0.022 0.355 7.42e-05 0.00255 4.014 normal 1.0 0.9943465980632437 25.479873186876205
0.304 0.022 0.355 7.42e-05 0.0027 4.014 normal 1.0 0.9947711158001481 59.23161847982894
0.304 0.022 0.355 7.42e-05 0.00245 4.014 normal 1.0 0.9933284391958991 28.20935477473032
0.304 0.022 0.355 7.42e-05 0.00265 4.014 normal 1.0 0.9947048437479361 45.232069380133055
0.304 0.022 0.37166666666666665 7.42e-05 0.00205 4.014 normal 1.0 0.9933970594199539 182.97243453672425
0.304 0.022 0.355 7.42e-05 0.00295 4.014 normal 1.0 0.996031391280015 141.10802550821157
0.304 0.022 0.37166666666666665 7.42e-05 0.00215 4.014 normal 1.0 0.9945635827919143 122.96545494727114
0.304 0.022 0.355 7.42e-05 0.003 4.014 normal 1.0 0.9961357973902788 160.56012603045988
0.304 0.022 0.355 7.42e-05 0.00285 4.014 normal 1.0 0.9955894258856972 105.59399682675598
0.304 0.022 0.37166666666666665 7.42e-05 0.002 4.014 normal 0.9999999812161422 0.9932149362348469 220.2824393092228
0.304 0.022 0.37166666666666665 7.42e-05 0.0021 4.014 normal 1.0 0.9938539573454981 150.2231962252141
0.304 0.022 0.355 7.42e-05 0.0029000000000000002 4.014 normal 1.0 0.9958382464820724 122.69182114367828
0.304 0.022 0.37166666666666665 7.42e-05 0.00235 4.014 normal 0.9999999999904068 0.9954186104270588 45.0872000758628
0.304 0.022 0.37166666666666665 7.42e-05 0.00255 4.014 normal 1.0 0.9970354186125914 16.431451832882924
0.304 0.022 0.37166666666666665 7.42e-05 0.0023 4.014 normal 1.0 0.9953999815770161 61.87207949989461
0.304 0.022 0.37166666666666665 7.42e-05 0.00245 4.014 normal 1.0 0.9959754501562821 18.733153410322146
0.304 0.022 0.37166666666666665 7.42e-05 0.0024000000000000002 4.014 normal 0.9999999999947473 0.9955793459159795 29.804551569763987
0.304 0.022 0.37166666666666665 7.42e-05 0.0022 4.014 normal 1.0 0.9951351681976962 100.5945756398816
0.304 0.022 0.37166666666666665 7.42e-05 0.0022500000000000003 4.014 normal 0.9999999961201189 0.9953559025694633 80.39908846250593
0.304 0.022 0.37166666666666665 7.42e-05 0.0025 4.014 normal 0.9999999999986258 0.9965411141024496 14.2255665389132
0.304 0.022 0.37166666666666665 7.42e-05 0.00295 4.014 normal 0.9999999999908873 0.9987850391987363 134.63276606129241
0.304 0.022 0.37166666666666665 7.42e-05 0.0029000000000000002 4.014 normal 1.0 0.9985970039994281 115.84130329013259
0.304 0.022 0.37166666666666665 7.42e-05 0.0027 4.014 normal 1.0 0.9974817419431542 50.63853602507414
0.304 0.022 0.37166666666666665 7.42e-05 0.0028 4.014 normal 1.0 0.9980181656571104 82.07816182803342
0.304 0.022 0.37166666666666665 7.42e-05 0.00275 4.014 normal 0.9999999999954211 0.9977112314452294 66.28947107203298
0.304 0.022 0.37166666666666665 7.42e-05 0.0026 4.014 normal 0.9999999999979339 0.99732225366573 24.44238382117037
0.304 0.022 0.37166666666666665 7.42e-05 0.00265 4.014 normal 1.0 0.9974097266464289 36.4449498235998
0.304 0.022 0.37166666666666665 7.42e-05 0.00285 4.014 normal 0.9999999999954335 0.998338759859687 98.40360915075998
0.304 0.022 0.37166666666666665 7.42e-05 0.003 4.014 normal 1.0 0.9989045708797228 154.16761681991318
0.304 0.022 0.3883333333333333 7.42e-05 0.00215 4.014 normal 1.0 0.9967893814441402 119.78697381203685
0.304 0.022 0.3883333333333333 7.42e-05 0.002 4.014 normal 1.0 0.9953909507219343 218.93212681470033
0.304 0.022 0.3883333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9999999999935878 0.997607320389127 76.53724183604902
0.304 0.022 0.3883333333333333 7.42e-05 0.00205 4.014 normal 1.0 0.9955887372110225 180.71573491821022
0.304 0.022 0.3883333333333333 7.42e-05 0.0022 4.014 normal 1.0 0.9973790524673278 97.12090944390688
0.304 0.022 0.3883333333333333 7.42e-05 0.0021 4.014 normal 1.0 0.9960761389650055 147.15398392098746
0.304 0.022 0.3883333333333333 7.42e-05 0.0023 4.014 normal 1.0 0.9976598628744051 57.25226705143512
0.304 0.022 0.3883333333333333 7.42e-05 0.0027 4.014 normal 1.0 0.9997569146806162 45.69117803058752
0.304 0.022 0.3883333333333333 7.42e-05 0.00265 4.014 normal 1.0 0.9996542623966523 31.33393630030031
0.304 0.022 0.3883333333333333 7.42e-05 0.0025 4.014 normal 1.0 0.9988476442860992 8.690114038879113
0.304 0.022 0.3883333333333333 7.42e-05 0.00245 4.014 normal 0.9999999998699782 0.9982657556735146 12.946067463242892
0.304 0.022 0.3883333333333333 7.42e-05 0.0026 4.014 normal 1.0 0.9996570659865222 19.21274795943113
0.304 0.022 0.3883333333333333 7.42e-05 0.00255 4.014 normal 0.9999999999983884 0.9993592953470275 11.058448075005728
0.304 0.022 0.3883333333333333 7.42e-05 0.00235 4.014 normal 0.9999999999967933 0.9976988687559908 39.82196706429017
0.304 0.022 0.3883333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9999999999983961 0.9978638085198549 24.143776434036265
0.304 0.022 0.3883333333333333 7.42e-05 0.0028 4.014 normal 1.0 1.0004177788908666 77.92205880557833
0.304 0.022 0.3883333333333333 7.42e-05 0.00275 4.014 normal 1.0 1.0000690541715578 61.665501731529346
0.304 0.022 0.3883333333333333 7.42e-05 0.00295 4.014 normal 1.0 1.0011776038207445 131.5947617027886
0.304 0.022 0.3883333333333333 7.42e-05 0.00285 4.014 normal 1.0 1.0007149231092318 94.70380141113476
0.304 0.022 0.3883333333333333 7.42e-05 0.003 4.014 normal 1.0 1.001308761389008 151.4764105767865
0.304 0.022 0.3883333333333333 7.42e-05 0.0029000000000000002 4.014 normal 1.0 1.000979990567339 112.6055112256915
0.304 0.022 0.405 7.42e-05 0.002 4.014 normal 1.0 0.9972202180019093 219.5023733399884
0.304 0.022 0.405 7.42e-05 0.00205 4.014 normal 1.0 0.9974257933445918 180.47522057901003
0.304 0.022 0.405 7.42e-05 0.0022500000000000003 4.014 normal 1.0 0.9992928795430541 75.02799973364122
0.304 0.022 0.405 7.42e-05 0.00245 4.014 normal 1.0 1.000203801221106 9.855671410578164
0.304 0.022 0.405 7.42e-05 0.00235 4.014 normal 1.0 0.999444268712262 37.19624519867825
0.304 0.022 0.405 7.42e-05 0.0024000000000000002 4.014 normal 1.0 0.9996874613946347 21.133528520226786
0.304 0.022 0.405 7.42e-05 0.0023 4.014 normal 1.0 0.9993790312681968 55.16282450469253
0.304 0.022 0.405 7.42e-05 0.0022 4.014 normal 1.0 0.9992650177662988 95.9523086806483
0.304 0.022 0.405 7.42e-05 0.00215 4.014 normal 1.0 0.9986644132207092 118.81735870764767
0.304 0.022 0.405 7.42e-05 0.0021 4.014 normal 1.0 0.9979300079963975 146.3872368563185
0.304 0.022 0.405 7.42e-05 0.00265 4.014 normal 1.0 1.001737389100336 28.85606163114042
0.304 0.022 0.405 7.42e-05 0.00285 4.014 normal 0.9999999999930791 1.002724277517631 93.47922927382687
0.304 0.022 0.405 7.42e-05 0.0026 4.014 normal 1.0 1.0016304050827523 16.665703588995292
0.304 0.022 0.405 7.42e-05 0.00275 4.014 normal 1.0 1.0020502037647658 59.6236134834472
0.304 0.022 0.405 7.42e-05 0.0025 4.014 normal 0.9999999999991924 1.0007907938012652 5.798129092457774
0.304 0.022 0.405 7.42e-05 0.00255 4.014 normal 0.9999999999983835 1.0013271925082712 8.416289587458829
0.304 0.022 0.405 7.42e-05 0.0027 4.014 normal 1.0 1.0018116666098076 43.39218895676029
0.304 0.022 0.405 7.42e-05 0.0028 4.014 normal 1.0 1.0023882149515317 76.30708610390793
0.304 0.022 0.42166666666666663 7.42e-05 0.00215 4.014 normal 1.0 1.000190956499527 119.20154588193124
0.304 0.022 0.42166666666666663 7.42e-05 0.0021 4.014 normal 1.0 0.9991897403618916 146.93258889840317
0.304 0.022 0.405 7.42e-05 0.003 4.014 normal 1.0 1.0033422339527391 151.32585029534775
0.304 0.022 0.405 7.42e-05 0.00295 4.014 normal 1.0 1.003201871199634 130.9237675197455
0.304 0.022 0.42166666666666663 7.42e-05 0.0022 4.014 normal 1.0 1.0007896916847665 96.20918202938103
0.304 0.022 0.42166666666666663 7.42e-05 0.002 4.014 normal 1.0 0.9986902732688939 221.17993902452952
0.304 0.022 0.42166666666666663 7.42e-05 0.00205 4.014 normal 1.0 0.9989181461737839 181.43493975630477
0.304 0.022 0.405 7.42e-05 0.0029000000000000002 4.014 normal 1.0 1.0029957985618998 111.76776015622981
0.304 0.022 0.42166666666666663 7.42e-05 0.0024000000000000002 4.014 normal 0.9999999999984936 1.0013343273684017 19.861113284920364
0.304 0.022 0.42166666666666663 7.42e-05 0.00235 4.014 normal 1.0 1.0011615201594275 36.2370160194009
0.304 0.022 0.42166666666666663 7.42e-05 0.0026 4.014 normal 0.999999999402748 1.003237699620614 15.873742981208085
0.304 0.022 0.42166666666666663 7.42e-05 0.0023 4.014 normal 1.0 1.00110582564614 54.640725919259985
0.304 0.022 0.42166666666666663 7.42e-05 0.0022500000000000003 4.014 normal 1.0 1.001036909015637 74.9764570463228
0.304 0.022 0.42166666666666663 7.42e-05 0.00245 4.014 normal 0.9999999999983824 1.001759165530178 8.545316169079387
0.304 0.022 0.42166666666666663 7.42e-05 0.0025 4.014 normal 0.9999999998950632 1.0023578693608082 4.66972484635807
0.304 0.022 0.42166666666666663 7.42e-05 0.00255 4.014 normal 0.999999999938109 1.0029203744882984 7.480826489964744
0.304 0.022 0.42166666666666663 7.42e-05 0.0029000000000000002 4.014 normal 0.9999999999939376 1.0046389490922456 112.40071279759069
0.304 0.022 0.42166666666666663 7.42e-05 0.00295 4.014 normal 1.0 1.0048452858818444 131.7067300773256
0.304 0.022 0.42166666666666663 7.42e-05 0.00275 4.014 normal 1.0 1.0036685708583208 59.23508332636136
0.304 0.022 0.42166666666666663 7.42e-05 0.003 4.014 normal 1.0 1.0049988709846323 152.25198205395392
0.304 0.022 0.42166666666666663 7.42e-05 0.00265 4.014 normal 0.9999999988984639 1.003345704108682 28.120531045756604
0.304 0.022 0.42166666666666663 7.42e-05 0.0028 4.014 normal 1.0 1.0040232524541037 76.31149534676622
0.304 0.022 0.42166666666666663 7.42e-05 0.00285 4.014 normal 1.0 1.0043622659525917 93.81446534477189
0.304 0.022 0.42166666666666663 7.42e-05 0.0027 4.014 normal 1.0 1.0034246014854473 42.79645873414742
0.304 0.022 0.43833333333333335 7.42e-05 0.0021 4.014 normal 1.0 1.0006153197348298 148.01117424482814
0.304 0.022 0.43833333333333335 7.42e-05 0.002 4.014 normal 1.0 0.9997382458496963 223.15293188001476
0.304 0.022 0.43833333333333335 7.42e-05 0.00205 4.014 normal 1.0 1.0000499728423182 182.85417197405076
0.304 0.022 0.43833333333333335 7.42e-05 0.0022500000000000003 4.014 normal 1.0 1.0022112669661372 75.67225682553395
0.304 0.022 0.43833333333333335 7.42e-05 0.0022 4.014 normal 1.0 1.0019504170934757 97.15351120114087
0.304 0.022 0.43833333333333335 7.42e-05 0.0023 4.014 normal 1.0 1.002288906490129 54.95524873155319
0.304 0.022 0.43833333333333335 7.42e-05 0.00215 4.014 normal 1.0 1.0013342010972144 120.19177437663399
0.304 0.022 0.43833333333333335 7.42e-05 0.00235 4.014 normal 1.0 1.002353325026162 36.20744993206427
0.304 0.022 0.43833333333333335 7.42e-05 0.00275 4.014 normal 1.0 1.004919882378579 59.770601930787336
