SqT23 DM31 X2
0.304924 0.0023 298.933
0.304924 0.00231 297.551
0.304924 0.00232 297.175
0.304924 0.00233 297.56
0.304924 0.00234 298.258
0.304924 0.00235 298.675
0.304924 0.00236 298.164
0.304924 0.00237 296.145
0.304924 0.00238 292.204
0.304924 0.00239 286.178
0.304924 0.0024 278.186
0.304924 0.00241 268.614
0.304924 0.00242 258.041
0.304924 0.00243 247.149
0.304924 0.00244 236.604
0.304924 0.00245 226.96
0.304924 0.00246 218.587
0.304924 0.00247 211.649
0.304924 0.00248 206.124
0.304924 0.00249 201.862
0.304924 0.0025 198.677
0.304924 0.00251 196.42
0.304924 0.00252 195.05
0.304924 0.00253 194.657
0.304924 0.00254 195.443
0.304924 0.00255 197.664
0.304924 0.00256 201.54
0.304924 0.00257 207.169
0.304924 0.00258 214.448
0.304924 0.00259 223.038
0.304924 0.0026 232.384
0.304924 0.00261 241.776
0.304924 0.00262 250.456
0.304924 0.00263 257.745
0.304924 0.00264 263.155
0.304924 0.00265 266.474
0.304924 0.00266 267.797
0.304924 0.00267 267.493
0.304924 0.00268 266.133
0.304924 0.00269 264.366
0.304924 0.0027 262.803
0.304924 0.00271 261.909
0.304924 0.00272 261.939
0.304924 0.00273 262.928
0.304924 0.00274 264.733
0.304924 0.00275 267.109
0.304924 0.00276 269.813
0.304924 0.00277 272.687
0.304924 0.00278 275.716
0.304924 0.00279 279.038
0.313242 0.0023 264.608
0.313242 0.00231 263.093
0.313242 0.00232 262.615
0.313242 0.00233 262.932
0.313242 0.00234 263.59
0.313242 0.00235 263.988
0.313242 0.00236 263.468
0.313242 0.00237 261.435
0.313242 0.00238 257.468
0.313242 0.00239 251.399
0.313242 0.0024 243.35
0.313242 0.00241 233.711
0.313242 0.00242 223.075
0.313242 0.00243 212.135
0.313242 0.00244 201.57
0.313242 0.00245 191.939
0.313242 0.00246 183.616
0.313242 0.00247 176.757
0.313242 0.00248 171.332
0.313242 0.00249 167.181
0.313242 0.0025 164.101
0.313242 0.00251 161.938
0.313242 0.00252 160.643
0.313242 0.00253 160.308
0.313242 0.00254 161.141
0.313242 0.00255 163.404
0.313242 0.00256 167.331
0.313242 0.00257 173.027
0.313242 0.00258 180.391
0.313242 0.00259 189.086
0.313242 0.0026 198.548
0.313242 0.00261 208.055
0.313242 0.00262 216.837
0.313242 0.00263 224.201
0.313242 0.00264 229.654
0.313242 0.00265 232.98
0.313242 0.00266 234.278
0.313242 0.00267 233.932
0.313242 0.00268 232.523
0.313242 0.00269 230.719
0.313242 0.0027 229.143
0.313242 0.00271 228.267
0.313242 0.00272 228.349
0.313242 0.00273 229.418
0.313242 0.00274 231.319
0.313242 0.00275 233.797
0.313242 0.00276 236.595
0.313242 0.00277 239.547
0.313242 0.00278 242.634
0.313242 0.00279 245.999
0.320687 0.0023 234.897
0.320687 0.00231 233.255
0.320687 0.00232 232.678
0.320687 0.00233 232.929
0.320687 0.00234 233.551
0.320687 0.00235 233.933
0.320687 0.00236 233.405
0.320687 0.00237 231.362
0.320687 0.00238 227.373
0.320687 0.00239 221.267
0.320687 0.0024 213.166
0.320687 0.00241 203.468
0.320687 0.00242 192.776
0.320687 0.00243 181.797
