Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV X2 
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.9534584338200578 0.9737671087307929 85.03159380947756
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 0.9593218977933369 0.9753611979218628 78.28393179377905
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 0.9548251250434469 0.9739770225797191 83.38349508690091
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 0.9555585132212229 0.974140997270299 82.46274258965471
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 0.9571798703383612 0.9746690958892553 80.69345978058531
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 0.9585771260369512 0.9750339437640343 79.10533137810963
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 0.9528403588799955 0.9734612630447828 86.44722716595751
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 0.9570767092345676 0.9742649827505883 81.43946006136854
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 0.9604027241221978 0.9756748689589402 77.32204873734563
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 0.9626672965949261 0.9762248084345212 75.54157044103864
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 0.9614903509923964 0.9759726729420493 76.58527368587372
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 0.9665787958957129 0.9778668210632068 75.7492664990228
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 0.9659225884101863 0.9777943625451407 75.12751050215219
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 0.9643490494584267 0.9773479739401559 74.30454041076075
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 0.9632052182514714 0.976728802376775 75.17102724143798
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 0.9648563425479605 0.9777616733762736 74.53808023030304
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 0.9701376361820682 0.9786439459634371 75.76429553030177
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 0.9689382954536699 0.9782944069520172 75.1516405385786
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 0.9682562044329549 0.9778263816364067 75.88666555607517
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 0.9720076519143667 0.9792440285622567 76.07947825453573
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 0.9710129025217556 0.9789812761638309 76.086369620965
