Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0025 0.0 inverted 168.91726864921753
0.304 0.022 0.305 7.42e-05 0.0025 1.256 normal 171.5336141440805
0.304 0.022 0.305 7.42e-05 0.0025 0.628 inverted 168.11561258200396
0.304 0.022 0.305 7.42e-05 0.0025 0.314 normal 183.6696955384575
0.304 0.022 0.305 7.42e-05 0.0025 0.942 inverted 165.39283622700304
0.304 0.022 0.305 7.42e-05 0.0025 3.14 inverted 152.6381607273224
0.304 0.022 0.305 7.42e-05 0.0025 0.314 inverted 169.38053208654753
0.304 0.022 0.305 7.42e-05 0.0025 0.0 normal 182.77046003228133
0.304 0.022 0.305 7.42e-05 0.0025 1.884 inverted 155.0695301175015
0.304 0.022 0.305 7.42e-05 0.0025 0.628 normal 181.78183520723573
0.304 0.022 0.305 7.42e-05 0.0025 2.198 inverted 153.05205872825826
0.304 0.022 0.305 7.42e-05 0.0025 1.884 normal 159.02662798393067
0.304 0.022 0.305 7.42e-05 0.0025 2.826 normal 148.7347770501588
0.304 0.022 0.305 7.42e-05 0.0025 3.14 normal 148.0134723308871
0.304 0.022 0.305 7.42e-05 0.0025 1.256 inverted 161.8141790624138
0.304 0.022 0.305 7.42e-05 0.0025 2.826 inverted 152.113839962675
0.304 0.022 0.305 7.42e-05 0.0025 1.57 normal 165.0579964647335
0.304 0.022 0.305 7.42e-05 0.0025 2.512 normal 150.7016839210797
0.304 0.022 0.305 7.42e-05 0.0025 0.942 normal 177.46130032140448
0.304 0.022 0.305 7.42e-05 0.0025 1.57 inverted 158.13541011378777
0.304 0.022 0.305 7.42e-05 0.0025 2.512 inverted 152.11438894117262
0.304 0.022 0.305 7.42e-05 0.0025 3.454 inverted 153.29001816824933
0.304 0.022 0.305 7.42e-05 0.0025 3.454 normal 148.2187205198318
0.304 0.022 0.305 7.42e-05 0.0025 2.198 normal 154.13047809985926
0.304 0.022 0.305 7.42e-05 0.0025 4.71 normal 157.3612181675048
0.304 0.022 0.305 7.42e-05 0.0025 4.082 normal 150.93580952253953
0.304 0.022 0.305 7.42e-05 0.0025 5.966 normal 179.28401875935364
0.304 0.022 0.305 7.42e-05 0.0025 5.652 inverted 164.0015579480982
0.304 0.022 0.305 7.42e-05 0.0025 3.768 normal 149.19759193345772
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 inverted 124.28723204877265
