Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2
0.304 0.0 0.355 7.42e-05 0.002275 0.0 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 2.51328 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 0.62832 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 3.76992 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 2.51328 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 0.62832 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 4.3982399999999995 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 1.25664 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 5.65488 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 3.76992 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 5.02656 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 4.3982399999999995 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 3.1416 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 1.88496 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 0.0 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 1.25664 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 5.02656 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 1.88496 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.002275 3.1416 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.002275 5.65488 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.00233125 0.0 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.00233125 1.25664 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.00233125 1.88496 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.00233125 3.76992 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 2.51328 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 1.88496 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.002275 6.2832 normal 41.761621239620595
0.304 0.0 0.355 7.42e-05 0.00233125 0.62832 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 0.0 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 3.1416 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 3.76992 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.00233125 5.02656 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.002275 6.2832 inverted 40.465608527328364
0.304 0.0 0.355 7.42e-05 0.00233125 0.62832 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.00233125 4.3982399999999995 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 5.02656 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 3.1416 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.00233125 1.25664 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.00233125 4.3982399999999995 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.00233125 2.51328 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.0023875 3.76992 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.00233125 6.2832 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.0023875 1.25664 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.00233125 6.2832 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.0023875 0.0 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.0023875 1.25664 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.0023875 2.51328 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.0023875 3.1416 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.0023875 0.62832 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.0023875 0.62832 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.00233125 5.65488 normal 39.63081666320857
0.304 0.0 0.355 7.42e-05 0.0023875 2.51328 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.0023875 4.3982399999999995 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.0023875 4.3982399999999995 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.0023875 1.88496 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.00233125 5.65488 inverted 38.654792749795035
0.304 0.0 0.355 7.42e-05 0.0023875 3.1416 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.0023875 0.0 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.0023875 1.88496 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.0023875 3.76992 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.00244375 0.62832 normal 36.01184502299577
0.304 0.0 0.355 7.42e-05 0.0023875 5.65488 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.0023875 5.02656 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.00244375 1.88496 normal 36.01184502299577
0.304 0.0 0.355 7.42e-05 0.00244375 1.25664 normal 36.01184502299577
0.304 0.0 0.355 7.42e-05 0.0023875 6.2832 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.0023875 5.65488 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.0023875 5.02656 inverted 36.54136395041298
0.304 0.0 0.355 7.42e-05 0.00244375 0.0 normal 36.01184502299577
0.304 0.0 0.355 7.42e-05 0.00244375 3.1416 normal 36.01184502299577
0.304 0.0 0.355 7.42e-05 0.00244375 1.88496 inverted 34.848959733321664
0.304 0.0 0.355 7.42e-05 0.00244375 3.76992 normal 36.01184502299577
0.304 0.0 0.355 7.42e-05 0.0023875 6.2832 normal 37.517146945005635
0.304 0.0 0.355 7.42e-05 0.00244375 3.76992 inverted 34.848959733321664
0.304 0.0 0.355 7.42e-05 0.00244375 2.51328 inverted 34.848959733321664
0.304 0.0 0.355 7.42e-05 0.00244375 2.51328 normal 36.01184502299577
0.304 0.0 0.355 7.42e-05 0.00244375 0.0 inverted 34.848959733321664
0.304 0.0 0.355 7.42e-05 0.00244375 3.1416 inverted 34.848959733321664
0.304 0.0 0.355 7.42e-05 0.00244375 0.62832 inverted 34.848959733321664
0.304 0.0 0.355 7.42e-05 0.00244375 1.25664 inverted 34.848959733321664
0.304 0.0 0.355 7.42e-05 0.0025 0.0 inverted 32.80902864403199
0.304 0.0 0.355 7.42e-05 0.0025 2.51328 normal 33.52577737510741
