Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.4 7.42e-05 0.0022 4.14 normal 185.55046711005775
0.304 0.022 0.4 7.42e-05 0.002488888888888889 4.14 normal 27.340539330334416
0.304 0.022 0.41578947368421054 7.42e-05 0.0022722222222222224 4.14 normal 125.66667271941455
0.304 0.022 0.4 7.42e-05 0.0027055555555555557 4.14 normal 94.48577978712652
0.304 0.022 0.4 7.42e-05 0.0023444444444444446 4.14 normal 87.03777225916429
0.304 0.022 0.4 7.42e-05 0.002416666666666667 4.14 normal 47.35657949564235
0.304 0.022 0.41578947368421054 7.42e-05 0.0025611111111111112 4.14 normal 28.934977746385055
0.304 0.022 0.41578947368421054 7.42e-05 0.0023444444444444446 4.14 normal 78.66928552494912
0.304 0.022 0.43157894736842106 7.42e-05 0.0023444444444444446 4.14 normal 75.65385794312337
0.304 0.022 0.43157894736842106 7.42e-05 0.0022 4.14 normal 176.1674509700544
0.304 0.022 0.4 7.42e-05 0.0022722222222222224 4.14 normal 133.0979893257566
0.304 0.022 0.41578947368421054 7.42e-05 0.00285 4.14 normal 180.08868291083218
0.304 0.022 0.41578947368421054 7.42e-05 0.0022 4.14 normal 178.3891659201938
0.304 0.022 0.4 7.42e-05 0.0025611111111111112 4.14 normal 33.70053915991664
0.304 0.022 0.4 7.42e-05 0.002777777777777778 4.14 normal 136.05948768364033
0.304 0.022 0.41578947368421054 7.42e-05 0.002488888888888889 4.14 normal 20.485902892873753
0.304 0.022 0.4 7.42e-05 0.00285 4.14 normal 179.5976200714035
0.304 0.022 0.43157894736842106 7.42e-05 0.0022722222222222224 4.14 normal 123.38555643875972
0.304 0.022 0.4 7.42e-05 0.0026333333333333334 4.14 normal 58.90727769289127
0.304 0.022 0.41578947368421054 7.42e-05 0.0026333333333333334 4.14 normal 55.39462922399488
0.304 0.022 0.41578947368421054 7.42e-05 0.0027055555555555557 4.14 normal 91.64909322558634
0.304 0.022 0.43157894736842106 7.42e-05 0.002416666666666667 4.14 normal 36.21887959513002
0.304 0.022 0.41578947368421054 7.42e-05 0.002416666666666667 4.14 normal 39.161033762212156
0.304 0.022 0.41578947368421054 7.42e-05 0.002777777777777778 4.14 normal 134.811580188841
0.304 0.022 0.4473684210526316 7.42e-05 0.0022722222222222224 4.14 normal 123.64104431451476
0.304 0.022 0.4473684210526316 7.42e-05 0.0023444444444444446 4.14 normal 75.31788956052743
0.304 0.022 0.43157894736842106 7.42e-05 0.002777777777777778 4.14 normal 137.81908334519198
0.304 0.022 0.4631578947368421 7.42e-05 0.0022722222222222224 4.14 normal 124.47061894671437
0.304 0.022 0.4473684210526316 7.42e-05 0.002777777777777778 4.14 normal 142.39207444418375
0.304 0.022 0.4631578947368421 7.42e-05 0.002488888888888889 4.14 normal 20.976804548375235
0.304 0.022 0.4473684210526316 7.42e-05 0.002488888888888889 4.14 normal 19.633390180493517
0.304 0.022 0.43157894736842106 7.42e-05 0.002488888888888889 4.14 normal 18.88317455946148
0.304 0.022 0.4473684210526316 7.42e-05 0.0022 4.14 normal 176.24231457701782
0.304 0.022 0.4473684210526316 7.42e-05 0.0025611111111111112 4.14 normal 31.295839229877053
0.304 0.022 0.4631578947368421 7.42e-05 0.0027055555555555557 4.14 normal 100.16550958217574
0.304 0.022 0.4631578947368421 7.42e-05 0.0025611111111111112 4.14 normal 33.60901718529484
0.304 0.022 0.4473684210526316 7.42e-05 0.0026333333333333334 4.14 normal 59.58822487014926
0.304 0.022 0.43157894736842106 7.42e-05 0.0027055555555555557 4.14 normal 93.34160885649209
0.304 0.022 0.4473684210526316 7.42e-05 0.002416666666666667 4.14 normal 36.021425350317756
0.304 0.022 0.4631578947368421 7.42e-05 0.0022 4.14 normal 177.1115714280981
0.304 0.022 0.43157894736842106 7.42e-05 0.0025611111111111112 4.14 normal 28.962549333071465
0.304 0.022 0.4631578947368421 7.42e-05 0.0023444444444444446 4.14 normal 75.76373788312569
0.304 0.022 0.43157894736842106 7.42e-05 0.00285 4.14 normal 184.8125297116358
0.304 0.022 0.4473684210526316 7.42e-05 0.00285 4.14 normal 190.76386351134084
0.304 0.022 0.43157894736842106 7.42e-05 0.0026333333333333334 4.14 normal 56.5032658555709
0.304 0.022 0.4631578947368421 7.42e-05 0.002416666666666667 4.14 normal 36.49434654962155
0.304 0.022 0.4631578947368421 7.42e-05 0.0026333333333333334 4.14 normal 62.560736244104895
0.304 0.022 0.4473684210526316 7.42e-05 0.0027055555555555557 4.14 normal 96.8546057429068
0.304 0.022 0.4789473684210526 7.42e-05 0.0022722222222222224 4.14 normal 124.43870056966101
