Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0025 0.314 inverted 759.3001060239266
0.304 0.022 0.305 7.42e-05 0.0025 0.942 inverted 758.1240941900214
0.304 0.022 0.305 7.42e-05 0.0025 0.942 normal 753.5882899299997
0.304 0.022 0.305 7.42e-05 0.0025 0.0 inverted 757.8711992749709
0.304 0.022 0.305 7.42e-05 0.0025 0.628 inverted 758.939046644282
0.304 0.022 0.305 7.42e-05 0.0025 1.57 inverted 756.0850548813034
0.304 0.022 0.305 7.42e-05 0.0025 1.256 normal 739.707438701738
0.304 0.022 0.305 7.42e-05 0.0025 1.57 normal 727.1984431768221
0.304 0.022 0.305 7.42e-05 0.0025 2.198 normal 705.9057185086222
0.304 0.022 0.305 7.42e-05 0.0025 0.0 normal 772.0799471458128
0.304 0.022 0.305 7.42e-05 0.0025 1.884 normal 716.6387928854228
0.304 0.022 0.305 7.42e-05 0.0025 2.826 inverted 763.6757347733761
0.304 0.022 0.305 7.42e-05 0.0025 2.512 normal 703.0328054842689
0.304 0.022 0.305 7.42e-05 0.0025 3.14 normal 700.4595177687861
0.304 0.022 0.305 7.42e-05 0.0025 2.198 inverted 757.4246644978707
0.304 0.022 0.305 7.42e-05 0.0025 2.826 normal 699.0928413098552
0.304 0.022 0.305 7.42e-05 0.0025 2.512 inverted 760.32076390587
0.304 0.022 0.305 7.42e-05 0.0025 0.628 normal 764.654819456263
0.304 0.022 0.305 7.42e-05 0.0025 3.454 normal 704.1074810915532
0.304 0.022 0.305 7.42e-05 0.0025 0.314 normal 770.2473707280244
0.304 0.022 0.305 7.42e-05 0.0025 1.256 inverted 755.4546276527412
0.304 0.022 0.305 7.42e-05 0.0025 3.14 inverted 765.8477391659039
0.304 0.022 0.305 7.42e-05 0.0025 1.884 inverted 756.3351168131143
0.304 0.022 0.305 7.42e-05 0.0025 3.454 inverted 764.5916572193197
0.304 0.022 0.305 7.42e-05 0.0025 5.024 inverted 752.7874365002336
0.304 0.022 0.305 7.42e-05 0.0025 4.396 inverted 758.323317299719
0.304 0.022 0.305 7.42e-05 0.0025 4.71 normal 731.0084124204525
0.304 0.022 0.305 7.42e-05 0.0025 4.082 inverted 761.1423182141582
0.304 0.022 0.305 7.42e-05 0.0025 4.71 inverted 754.91383344193
0.304 0.022 0.305 7.42e-05 0.0025 5.338 normal 752.6188125021821
0.304 0.022 0.305 7.42e-05 0.0025 6.28 normal 772.0758104888372
0.304 0.022 0.305 7.42e-05 0.0025 5.024 normal 742.079346472907
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 inverted 510.55134196218626
0.304 0.022 0.305 7.42e-05 0.0025 3.768 normal 708.4928767244105
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 normal 519.8655856829732
0.304 0.022 0.305 7.42e-05 0.0025 4.082 normal 714.2774742087878
0.304 0.022 0.305 7.42e-05 0.0025 5.966 normal 769.9677942248487
0.304 0.022 0.305 7.42e-05 0.0025 5.652 normal 762.4653267251997
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 inverted 510.1212023391837
0.304 0.022 0.305 7.42e-05 0.0025 3.768 inverted 764.1043740240534
0.304 0.022 0.305 7.42e-05 0.0025 4.396 normal 722.5620556779775
0.304 0.022 0.305 7.42e-05 0.0025 5.652 inverted 754.4498539500576
0.304 0.022 0.305 7.42e-05 0.0025 5.966 inverted 755.6225136338121
0.304 0.022 0.305 7.42e-05 0.0025 5.338 inverted 752.4239046715545
0.304 0.022 0.305 7.42e-05 0.0025 6.28 inverted 757.9652777940828
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 normal 519.0465239671883
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 inverted 510.5481741055775
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 normal 514.9304317662328
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.884 normal 476.1067124825453
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.256 inverted 506.31376564605637
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.942 inverted 509.1961640678651
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.942 normal 505.9815582996087
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.082 normal 473.7176273216857
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.256 normal 495.3956674631088
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.198 normal 468.60385153599816
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.57 normal 485.0297717662565
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.57 inverted 506.3794196905858
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.454 normal 466.5945867278378
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.14 inverted 514.1976762583195
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.884 inverted 505.4958813925608
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.768 normal 469.6902884503705
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.826 normal 463.2262783142702
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.396 inverted 508.9628296640648
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.512 normal 464.22943957908944
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.14 normal 463.53909370515566
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.768 inverted 513.3147644027182
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.198 inverted 505.9073649541887
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.826 inverted 511.94551973673714
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.512 inverted 508.6294810135278
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.396 normal 479.9431197273952
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.454 inverted 513.3194253804738
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.082 inverted 511.0362315588131
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.652 inverted 506.3729668228115
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.338 inverted 504.53916474928604
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.652 normal 510.7857984956273
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.966 inverted 507.9341642605305
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.628 normal 334.5811893154243
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.024 normal 494.13893898518387
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.71 normal 486.05271637456843
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.338 normal 502.5414292976289
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.024 inverted 504.7769767422673
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.314 normal 337.5453765613485
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 6.28 normal 519.8608152378363
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 6.28 inverted 510.1691766742133
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.942 normal 328.01428087477905
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.966 normal 517.2336204001963
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.57 inverted 330.1807820567276
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.71 inverted 506.355770342821
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.942 inverted 333.6529867037799
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.256 normal 319.5400398382822
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.0 normal 337.4502082514714
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.0 inverted 335.330709308968
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.628 inverted 335.73209234757775
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.57 normal 311.1037771425224
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.256 inverted 331.15137793054936
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.314 inverted 335.7440410215999
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.198 normal 297.9706287878324
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.512 inverted 330.6177927849489
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.826 normal 293.87400311769926
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.884 normal 303.7886137063501
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.768 normal 298.05753921972854
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.454 normal 295.69488406541495
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.198 inverted 328.4765945655982
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.082 inverted 334.9973831357401
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.826 inverted 332.73162782136046
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.14 normal 293.64917463383875
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.396 normal 304.98706469898764
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.71 inverted 331.07594855567095
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.14 inverted 335.7020802722565
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.024 normal 315.5208828345821
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.71 normal 309.36507636145257
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.884 inverted 329.3603914071867
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.082 normal 300.7508308979493
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.338 inverted 329.9717509717231
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.768 inverted 335.9714524438956
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.396 inverted 333.0044110045922
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.512 normal 295.1143659005041
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.454 inverted 335.1578707235984
