Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization X2 
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 0.9784490745251391 366.2862193727641
0.304 0.022 0.305 7.42e-05 0.0022 4.014 inverted 0.9793500284335196 240.38004553930955
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 0.9801749275073803 251.64319401115048
0.304 0.022 0.305 7.42e-05 0.00235 4.014 inverted 0.9799154343319167 200.66565536462676
0.304 0.022 0.305 7.42e-05 0.00205 4.014 inverted 0.9779436870161378 312.07388948168955
0.304 0.022 0.305 7.42e-05 0.00215 4.014 inverted 0.9789099044132578 260.1752319579576
0.304 0.022 0.305 7.42e-05 0.0021 4.014 inverted 0.978365387453556 285.33676102291264
0.304 0.022 0.305 7.42e-05 0.0023 4.014 inverted 0.9797573506251083 212.70755369203516
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 0.9786343272862122 332.27489668334226
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 0.9805556534383768 201.05904637322985
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 0.9790629507655941 300.78629305357543
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 inverted 0.9796179212349052 224.7832460201349
0.304 0.022 0.305 7.42e-05 0.002 4.014 inverted 0.9775945816073751 343.07679618992137
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 0.9804833195357754 215.9143686743285
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 0.9796463506940563 274.35051036521116
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 0.9803841503722625 233.31668715157042
0.304 0.022 0.305 7.42e-05 0.00245 4.014 inverted 0.9806965202687787 182.3823427995777
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 0.9824297053368578 175.30545211000828
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 0.9807731387287186 186.58687778591639
0.304 0.022 0.305 7.42e-05 0.00275 4.014 inverted 0.9824925813698603 237.01926681862713
0.304 0.022 0.305 7.42e-05 0.0026 4.014 inverted 0.9819543786097462 191.12488352704062
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 0.9828535621727158 214.0854092543445
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 0.9816553564581518 168.4180134334041
0.304 0.022 0.305 7.42e-05 0.0025 4.014 inverted 0.9812272875322541 180.19388271506327
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 0.9826493625036694 199.97053567535093
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 0.9825443414335164 186.6468841211585
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 0.9821014218855051 169.48944899786144
0.304 0.022 0.305 7.42e-05 0.0027 4.014 inverted 0.9822343906970608 219.8033695539199
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 0.9811602278250724 175.06157956678373
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 inverted 0.9802237639937573 189.89647665502582
0.304 0.022 0.305 7.42e-05 0.00255 4.014 inverted 0.981653388715634 183.4058511743368
0.304 0.022 0.305 7.42e-05 0.00265 4.014 inverted 0.9820914983173706 204.18696590579174
0.304 0.022 0.305 7.42e-05 0.0028 4.014 inverted 0.9828593981254121 253.16962987722678
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 inverted 0.9820684765008657 267.1664737541492
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 0.982443126461075 288.18267580554505
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 inverted 0.9817050540155574 299.1852828392878
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 0.9822442896689619 323.5928532805122
0.304 0.022 0.305 7.42e-05 0.00295 4.014 inverted 0.9836539515601662 305.3706070970832
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 0.9839943685099846 273.6944493870117
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 0.983768316618255 256.4199291688742
0.304 0.022 0.305 7.42e-05 0.003 4.014 inverted 0.9837777958949551 327.00762302830384
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 0.9831759756166901 227.66669403614998
0.304 0.022 0.305 7.42e-05 0.00285 4.014 inverted 0.9832002863367003 268.38182923493076
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 0.9834728705946632 240.56084998128043
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 0.9841650206151897 292.18382729087773
