Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown IceAbsorption IceScattering OptEffHeadon OptEffLateral OptEffOverall CoinFraction XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2
0.304 0.022 0.305 7.42e-05 0.002 4.14 normal 1.0 1.0544952915265657 -0.011316309591361422 0.9900911035136992 0.9247896360153063 0.12056957950754786 -0.07025681903719622 0.9998151359946386 0.9998151359946386 -0.06485078852327024 24.99513821004559 0.9998151359946386 -0.0001848640053629039 0.8660412127294583 1.016721075888163 0.9654197403853906 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1552007607502686 419.18729188924686
0.304 0.022 0.305 7.42e-05 0.00205 4.14 normal 1.0 1.046723852134298 -0.0107927120150608 1.004612233306577 0.9321513670122779 0.11761840237343349 -0.07487466662498486 0.9996131240965876 0.9996131240965876 -0.06634308413923584 24.99455083765397 0.9996131240965876 -0.00038687590341136607 0.8558879843309397 1.0221789271682429 0.9755352243370927 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1249376589633213 362.60761554839144
0.304 0.022 0.305 7.42e-05 0.00215 4.14 normal 1.0 1.0426811673831835 -0.011236999647158893 1.007236668115492 0.9314259177072778 0.10950290413556926 -0.07039116673232895 0.9966815186900637 0.9966815186900637 -0.04855608409550265 24.992379448322605 0.9966815186900637 -0.0033184813099392634 0.8941492986454919 1.0248704146395242 0.982444907325084 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.105169430792395 274.5921698144245
0.304 0.022 0.305 7.42e-05 0.0021 4.14 normal 1.0 1.0530439731052335 -0.01191701975146218 0.9994427752335795 0.9145815219756871 0.12425134516475425 -0.07482605900126323 0.9938641111202645 0.9938641111202645 -0.03400874815656685 24.989763930255567 0.9938641111202645 -0.006135888879737556 0.8545225340548765 1.029258480103273 0.9985609460637919 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0527852678262468 312.91305781599806
0.304 0.022 0.305 7.42e-05 0.0022 4.14 normal 1.0 1.0472072638924141 -0.010048946126734005 1.0040181058846815 0.9295601590378607 0.1110807388930382 -0.06432494946067926 0.9950379247277031 0.9950379247277031 -0.030992955669441043 24.992415466981384 0.9950379247277031 -0.004962075272299002 0.9144388225930514 1.014605524902669 0.986930724545116 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0349538201384643 241.29329566567606
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.14 normal 1.0 1.0444560097000892 -0.010003467942286518 1.0052337155701614 0.9332618552399393 0.10552542710577104 -0.06574560295133122 0.9950964008845729 0.9950964008845729 -0.026003172046013177 24.994397452481138 0.9950964008845729 -0.004903599115427489 0.9302391038460761 1.0134850457532851 0.9856317357623877 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0348636360701555 211.6574829753386
0.304 0.022 0.305 7.42e-05 0.00235 4.14 normal 1.0 1.0377256277285165 -0.011180299159220806 1.0105149131520677 0.9352362490423377 0.09968670214265239 -0.0729649621432062 0.9949748807439892 0.9949748807439892 -0.02221478670101248 24.995362942250697 0.9949748807439892 -0.005025119256010084 0.9449446244619635 1.0238368297764269 0.9943652485895725 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0382849434141512 159.26400671550434
0.304 0.022 0.305 7.42e-05 0.0023 4.14 normal 1.0 1.0405846009745314 -0.010344149912578746 1.009007851974392 0.9352950599569914 0.102663723995441 -0.06953808284400016 0.9948550511480506 0.9948550511480506 -0.01945308963908337 24.99671800563522 0.9948550511480506 -0.005144948851952501 0.9354001979407792 1.019161820090244 0.9902058404215611 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0378069894015118 184.8606348065451
0.304 0.022 0.305 7.42e-05 0.00245 4.14 normal 1.0 1.0382867304845815 -0.011646378625834414 1.0010361639885557 0.9333628694709626 0.08967821937716594 -0.0832350153389567 0.9971592054199945 0.9971592054199945 -0.02669226112142973 24.992456913868793 0.9971592054199945 -0.002840794580005797 0.9634102401970414 1.0206600216459836 0.994348602504666 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0316036489024305 118.27322834900023
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.14 normal 1.0 1.0397936078797434 -0.01108667465044616 1.0039515462690214 0.934316959319978 0.09499114466271179 -0.07856345177583245 1.0001055326512258 1.0001055326512258 -0.028972092810450215 24.990178227514097 1.0001055326512258 0.00010553265122411752 0.9613786658353081 1.014637813714566 0.9913367441375404 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0278166913080127 134.97858804721957
