Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown IceAbsorption IceScattering OptEffHeadon OptEffLateral OptEffOverall CoinFraction XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.305 7.42e-05 0.002 4.14 normal 1.0 1.0544952915265657 -0.011316309591361422 0.9900911035136992 0.9247896360153063 0.12056957950754786 -0.07025681903719622 0.9998151359946386 0.9998151359946386 -0.06485078852327024 24.99513821004559 0.9998151359946386 -0.0001848640053629039 0.8660412127294583 1.016721075888163 0.9654197403853906 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1552007607502686 419.18729188924686
0.304 0.022 0.305 7.42e-05 0.00205 4.14 inverted 1.0 1.047710396923441 -0.0110445448628913 1.001384511610482 0.9333983952849366 0.11522324094707011 -0.07694401345307457 0.9997137445708868 0.9997137445708868 -0.052208948998777045 24.995079790256213 0.9997137445708868 -0.00028625542911152004 0.8732817239394632 1.0191985003176502 0.9695171863390459 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1279934362639417 330.3740287292927
0.304 0.022 0.305 7.42e-05 0.0021 4.14 inverted 1.0 1.0454117803603225 -0.01093145645819345 1.0042150291918275 0.9351055658287418 0.11237955343965254 -0.07614671883312678 0.9997955599992722 0.9997955599992722 -0.045809768839395006 24.995407772594433 0.9997955599992722 -0.0002044400007274978 0.8863222536163406 1.019693517741579 0.970753784661828 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1169068764615449 287.3463038885302
0.304 0.022 0.305 7.42e-05 0.002 4.14 inverted 1.0 1.0484452605215182 -0.01062550021018007 1.0039159123403267 0.9333441634941045 0.11943951300122546 -0.07587553467225931 0.9998931963395069 0.9998931963395069 -0.058189236427953345 24.994861704191383 0.9998931963395069 -0.00010680366049542256 0.855833037444531 1.019278922524537 0.970091956592535 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1329391563013407 379.14948216534566
0.304 0.022 0.305 7.42e-05 0.00205 4.14 normal 1.0 1.046723852134298 -0.0107927120150608 1.004612233306577 0.9321513670122779 0.11761840237343349 -0.07487466662498486 0.9996131240965876 0.9996131240965876 -0.06634308413923584 24.99455083765397 0.9996131240965876 -0.00038687590341136607 0.8558879843309397 1.0221789271682429 0.9755352243370927 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1249376589633213 362.60761554839144
0.304 0.022 0.305 7.42e-05 0.00215 4.14 inverted 1.0 1.0439556388626055 -0.010752081976310772 1.0020208190548086 0.9384608148306507 0.10674904234091509 -0.07418864486132118 0.9997099878138677 0.9997099878138677 -0.047329573733912195 24.995089481889536 0.9997099878138677 -0.00029001218613449153 0.9070575527019238 1.016299783984037 0.9689224871702522 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1132097905889264 249.770599112804
0.304 0.022 0.305 7.42e-05 0.00215 4.14 normal 1.0 1.0426811673831835 -0.011236999647158893 1.007236668115492 0.9314259177072778 0.10950290413556926 -0.07039116673232895 0.9966815186900637 0.9966815186900637 -0.04855608409550265 24.992379448322605 0.9966815186900637 -0.0033184813099392634 0.8941492986454919 1.0248704146395242 0.982444907325084 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.105169430792395 274.5921698144245
0.304 0.022 0.305 7.42e-05 0.0021 4.14 normal 1.0 1.0530439731052335 -0.01191701975146218 0.9994427752335795 0.9145815219756871 0.12425134516475425 -0.07482605900126323 0.9938641111202645 0.9938641111202645 -0.03400874815656685 24.989763930255567 0.9938641111202645 -0.006135888879737556 0.8545225340548765 1.029258480103273 0.9985609460637919 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0527852678262468 312.91305781599806
0.304 0.022 0.305 7.42e-05 0.0022 4.14 inverted 1.0 1.0456173746021877 -0.010089146410092984 1.0044845890300365 0.9357737665635053 0.1086550316807904 -0.06872497381287335 0.9952677723362564 0.9952677723362564 -0.027314412839134383 24.99408278023171 0.9952677723362564 -0.004732227663746298 0.9190743026849093 1.0114976773175708 0.9838946210354909 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0355060442406356 218.0033688151204
0.304 0.022 0.305 7.42e-05 0.0022 4.14 normal 1.0 1.0472072638924141 -0.010048946126734005 1.0040181058846815 0.9295601590378607 0.1110807388930382 -0.06432494946067926 0.9950379247277031 0.9950379247277031 -0.030992955669441043 24.992415466981384 0.9950379247277031 -0.004962075272299002 0.9144388225930514 1.014605524902669 0.986930724545116 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0349538201384643 241.29329566567606
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.14 normal 1.0 1.0444560097000892 -0.010003467942286518 1.0052337155701614 0.9332618552399393 0.10552542710577104 -0.06574560295133122 0.9950964008845729 0.9950964008845729 -0.026003172046013177 24.994397452481138 0.9950964008845729 -0.004903599115427489 0.9302391038460761 1.0134850457532851 0.9856317357623877 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0348636360701555 211.6574829753386
0.304 0.022 0.305 7.42e-05 0.00235 4.14 normal 1.0 1.0377256277285165 -0.011180299159220806 1.0105149131520677 0.9352362490423377 0.09968670214265239 -0.0729649621432062 0.9949748807439892 0.9949748807439892 -0.02221478670101248 24.995362942250697 0.9949748807439892 -0.005025119256010084 0.9449446244619635 1.0238368297764269 0.9943652485895725 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0382849434141512 159.26400671550434
0.304 0.022 0.305 7.42e-05 0.00235 4.14 inverted 1.0 1.0372082561264329 -0.011413278036611832 1.0108752468092534 0.9405713617563871 0.10024690082756746 -0.06856665014116575 0.9948765836016978 0.9948765836016978 -0.025094615850677543 24.994259609518316 0.9948765836016978 -0.005123416398307047 0.959324448143994 1.0193095472294202 0.9897505187601949 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0371868801274613 154.2903902857159
0.304 0.022 0.305 7.42e-05 0.0023 4.14 normal 1.0 1.0405846009745314 -0.010344149912578746 1.009007851974392 0.9352950599569914 0.102663723995441 -0.06953808284400016 0.9948550511480506 0.9948550511480506 -0.01945308963908337 24.99671800563522 0.9948550511480506 -0.005144948851952501 0.9354001979407792 1.019161820090244 0.9902058404215611 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0378069894015118 184.8606348065451
0.304 0.022 0.305 7.42e-05 0.0023 4.14 inverted 1.0 1.042476779520152 -0.010384271083613152 1.003432609931597 0.9399165523429225 0.10087184771683513 -0.07109263650293912 0.995263841852795 0.995263841852795 -0.020374631527847 24.996050966155234 0.995263841852795 -0.00473615814720553 0.9533489917629989 1.0087376924188902 0.9811374230552653 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0337629601293756 174.13871453069223
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.14 inverted 1.0 1.042152053300113 -0.009970234881462052 1.0067759042177902 0.9402672588470721 0.10400146411551174 -0.07007336325894865 0.9955179131700835 0.9955179131700835 -0.024340180358046647 24.994808719418366 0.9955179131700835 -0.004482086829916501 0.9335255076843947 1.011901633823646 0.9837375356925808 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0362138444495128 194.7749693590628
