Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 282.88193480136795
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 208.12902859686832
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 348.4387410410616
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 315.13721607896406
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 227.26946799127109
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 193.82725746625772
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 180.52529909018443
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 252.1953967152022
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 166.6599025151613
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 149.08347903565334
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 145.02737266747846
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 143.3811043765093
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 153.7397088938046
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 185.7281684864483
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 160.1979116057121
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 173.28042321993127
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 209.93818067893932
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 240.54858020842224
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 197.7113129943471
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 258.8849906226864
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 265.5642160740052
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 232.54145996378696
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 300.19413318651914
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 224.2761944866834
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 202.4060159585581
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 177.56228207302647
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 127.93973616645394
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 113.54234103682592
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 142.31189408087542
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 93.03756973460972
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 157.98760722682118
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 101.023363547207
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 92.17620551485928
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 136.28035154393658
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 177.4627805730344
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 98.39896405005307
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 122.98584018790102
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 162.44590210035173
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 109.7093306732897
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 149.10158385906274
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 230.40413336070708
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 122.70344148794445
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 213.1198797028167
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 266.27962552617595
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 142.7051734225428
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 167.1499263166445
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 194.42934413771252
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 197.2768972591886
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 105.92741945882925
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 56.25949725373311
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 75.77037512256022
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 63.00399762357091
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 90.6104493240997
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 63.444228799218514
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 56.30701939697064
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 74.50978256684243
