Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown ORCAEnergyScale ShowerClassification TrackClassification IntermediateClassification XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.30500 0.0000742 0.0020500 4.140 normal 1.0 1.0071196950242038 -0.00715714338842083 1.0325099875944543 1.0084191784393943 -0.33531398353966047 -0.07137596022118897 1.0 0.9399257148165208 0.9995501618403408 1.1028646336990406 0.9433935087877497 0.9264041113313553 0.9364673988917354 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2894884011656216 1412.09
0.304 0.022 0.30500 0.0000742 0.0021500 4.140 normal 1.0 1.000599428156502 -0.011626095922666377 1.032868831043067 1.0056991949045 -0.32333475813599055 -0.08149626530297083 1.0 0.9382360686842633 0.9963490866422161 1.1005953842571936 0.9647470277049888 0.9437885336329052 0.9506099315007186 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2864747086871509 1394.76
0.304 0.022 0.30500 0.0000742 0.0021000 4.140 normal 1.0 1.004467228994134 -0.01053630347204383 1.0327497388059292 1.0069374313764867 -0.3278295746166432 -0.07530489920565425 1.0 0.9402401858117402 0.9991435690068369 1.100865867267181 0.9551607079624385 0.9312552621178161 0.9398139929368529 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2888255204794283 1410.11
0.304 0.022 0.30500 0.0000742 0.0020000 4.140 normal 1.0 1.0090943583694543 -0.00585276914491889 1.0322547262332062 1.0099028309194873 -0.34382140142202544 -0.07113560017598955 1.0 0.9401914154038076 0.9989444932606426 1.1041867898922526 0.9303957323189284 0.9224675751820505 0.9337201624125607 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2904910249913069 1435.88
0.304 0.022 0.30500 0.0000742 0.0023500 4.140 normal 1.0 0.9862685150323995 -0.0299977972735738 1.030330014328503 1.004690759983307 -0.31062627109102575 -0.05729287199040429 1.0 0.92951345159972 0.9914903909997125 1.1044711147014332 0.9795391740471594 1.0486338888253084 1.0454253625058139 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2482179974994956 754.66
0.304 0.022 0.30500 0.0000742 0.0023000 4.140 normal 1.0 0.9912789862006949 -0.02876004432665992 1.0313478107774492 1.004431198107591 -0.31393669561381476 -0.05982832889199611 1.0 0.9287431679326189 0.989621117505672 1.1016193211674088 0.9768711579459621 1.0308762090876509 1.035501868356734 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.253017164593719 973.28
0.304 0.022 0.30500 0.0000742 0.0022500 4.140 normal 1.0 0.9943828673170365 -0.02795413839963472 1.032184686281688 1.0045007460469577 -0.3193526022126082 -0.05906409740235043 1.0 0.9280150805051687 0.9913799376141447 1.1010773329586179 0.981254639690365 1.0139730312885518 1.0183343318265918 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2612718936168508 1172.13
0.304 0.022 0.30500 0.0000742 0.0022000 4.140 normal 1.0 0.9950320512613736 -0.02844200158280316 1.0326541739853907 1.0048793536697302 -0.31750448197406617 -0.05939393559521277 1.0 0.9268793487281709 0.9895805050619512 1.1052408620820273 0.975647245113168 1.014200339153071 1.021876967310203 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2506629364590502 1313.84
0.304 0.022 0.30500 0.0000742 0.0026500 4.140 normal 1.0 0.9921696632194882 -0.014542695107293425 1.0238843300363043 1.0067388096130896 -0.20593725512391425 -0.04945484430441046 1.0 0.9402430962287017 0.9974781339355596 1.0923683131196398 0.9514438629121618 1.0333535693832492 1.0326610054438081 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.202676638548003 638.37
0.304 0.022 0.30500 0.0000742 0.0027000 4.140 normal 1.0 0.9940849781744663 -0.015407523709873687 1.0234934007601897 1.0063996045698753 -0.20894032893269315 -0.04902958335918679 1.0 0.9420132353638992 0.9982903088706331 1.0881824401294973 0.9557178718951527 1.0296735744609213 1.0290587064671426 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2001522515305258 700.14
0.304 0.022 0.30500 0.0000742 0.0024500 4.140 normal 1.0 0.9920517598350346 -0.023716947058207576 1.0278167778306995 1.005728523456587 -0.3104462963206978 -0.05783696707723334 1.0 0.9305598621434615 0.9892742992778873 1.0945344305840163 0.9608252381902911 1.0465277675524862 1.0455535357556487 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2462031446392796 447.21
0.304 0.022 0.30500 0.0000742 0.0024000 4.140 normal 1.0 0.9868530415535822 -0.027844628604571837 1.0291280620995606 1.0051634982728257 -0.3126924446554511 -0.05730586233995271 1.0 0.9301790192261344 0.991060016567924 1.1015229588450919 0.9734780592303613 1.049645661013987 1.0486039554237925 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.24977457563515 565.29
0.304 0.022 0.30500 0.0000742 0.0026000 4.140 normal 1.0 0.9945354644864447 -0.01607844673633156 1.0245408692167919 1.0068270000007589 -0.24625872013631875 -0.05351673652051666 1.0 0.9371752767772821 0.9934987770692398 1.0902643907081795 0.9499006738788639 1.036851779685402 1.0360849817458528 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2163061207504375 558.26
0.304 0.022 0.30500 0.0000742 0.0027500 4.140 normal 1.0 0.9930544437144351 -0.01624182295407051 1.0234965987226814 1.0057180658284233 -0.19126877621589244 -0.052823440861199986 1.0 0.9424133866922003 0.9981992564475164 1.0874797711210946 0.9629711450412243 1.0257567881436118 1.025224187707917 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1973261975219027 755.45
