Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown ORCAEnergyScale ShowerClassification TrackClassification IntermediateClassification XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.30500 0.0000742 0.0020500 4.140 normal 1.0 1.0011304683133884 -0.008738797953419926 1.0301793779319162 1.013389181987662 -0.2545741505528661 -0.0508677852360727 1.0 0.9427681586910827 0.9946954932782395 1.1159817594173869 0.9139317884036439 0.9856544189494023 0.9974642345409619 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2542984873133083 597.18
0.304 0.022 0.30500 0.0000742 0.0021000 4.140 normal 1.0 0.9934902619421293 -0.013174693749640897 1.0293838962087047 1.012665316605971 -0.25290242357862935 -0.05296278760306942 1.0 0.9449097495372395 0.9945306813590366 1.1200994811668212 0.9194706583360343 1.0071372527742373 1.0163287422915999 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2428395221933894 535.53
0.304 0.022 0.30500 0.0000742 0.0020000 4.140 normal 1.0 1.0030444217510344 -0.008283797789622167 1.0310251379779292 1.0140779184849968 -0.2578184224249393 -0.05442460960040893 1.0 0.9432719120842333 0.9947919018636979 1.1158939935758203 0.9083231995829789 0.9738107633051131 0.9883918199339704 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2574294216736213 660.33
0.304 0.022 0.30500 0.0000742 0.0022000 4.140 normal 1.0 0.9891876895817198 -0.01596639088974725 1.0280068523559747 1.0114209612655443 -0.24297538209550956 -0.052420800084569535 1.0 0.9459123923711852 0.9966075006985855 1.1168733378454823 0.9299189607849002 1.0202537321927048 1.0267787143773792 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2452373254645168 423.82
0.304 0.022 0.30500 0.0000742 0.0021500 4.140 normal 1.0 0.993575045012138 -0.014684816636441335 1.0286958526309404 1.0119788985767335 -0.24620418002490113 -0.052221458645473263 1.0 0.9438132213164022 0.9939579439472057 1.1162966213457097 0.9248602481717901 1.0123294834693306 1.0205357124236452 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2458823027071753 477.01
0.304 0.022 0.30500 0.0000742 0.0023500 4.140 normal 1.0 0.9888765259043294 -0.019360819573248186 1.0262314464107327 1.0101844134107467 -0.24044880277744213 -0.05534608293579577 1.0 0.9363650539487015 0.9916184793622385 1.1057767177696343 0.9426701049539636 1.0539635993174352 1.0473496286499167 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2440989363947383 304.66
0.304 0.022 0.30500 0.0000742 0.0023000 4.140 normal 1.0 0.9890550187867231 -0.018386398759530718 1.026768407720994 1.0105333975006174 -0.2373478114392007 -0.055969270156017464 1.0 0.9405765597429366 0.99225520873959 1.109217661863031 0.938694178368937 1.0396810120004802 1.0394240787534776 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2411859324325334 334.67
0.304 0.022 0.30500 0.0000742 0.0022500 4.140 normal 1.0 0.9900243067526929 -0.01732975338409979 1.0274281440681805 1.0109225757505906 -0.23875237510028238 -0.05404351242699747 1.0 0.9419481762763228 0.9935499313670665 1.1124592520345995 0.934548908774832 1.0312033064527804 1.0333643663907632 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.241458088842002 375.44
0.304 0.022 0.30500 0.0000742 0.0027000 4.140 normal 1.0 0.9910742105332722 -0.014359072204338349 1.0212353557953213 1.0092743169326819 -0.1687985855114214 -0.09280135836377079 1.0 0.9339365388399453 0.9918786636112674 1.0832314149157591 0.9587991845181297 1.0286174537242903 1.029117489070117 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2285663228320607 424.10
0.304 0.022 0.30500 0.0000742 0.0027500 4.140 normal 1.0 0.9941570131796547 -0.014181496075148035 1.0204482394257643 1.0091569752061456 -0.12208558376894257 -0.0554730535622393 1.0 0.9384808389521222 0.9971834982854226 1.0859066721849329 0.9597696476085781 1.0284019321806617 1.0277207681990213 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2017294357389265 470.78
