Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2
0.304 0.0 0.305 7.42e-05 0.002041666666666667 4.014 inverted 127.77945244147737
0.304 0.0 0.305 7.42e-05 0.002125 4.014 inverted 123.26923338846804
0.304 0.0 0.305 7.42e-05 0.0022083333333333334 4.014 normal 120.3928193228553
0.304 0.0 0.305 7.42e-05 0.002375 4.014 inverted 109.08902158419538
0.304 0.0 0.305 7.42e-05 0.0022500000000000003 4.014 inverted 116.36476990994018
0.304 0.0 0.305 7.42e-05 0.0022500000000000003 4.014 normal 118.98792631294673
0.304 0.0 0.305 7.42e-05 0.002041666666666667 4.014 normal 130.22697192449846
0.304 0.0 0.305 7.42e-05 0.002375 4.014 normal 111.07533284257056
0.304 0.0 0.305 7.42e-05 0.0023333333333333335 4.014 inverted 112.105933819262
0.304 0.0 0.305 7.42e-05 0.0021666666666666666 4.014 normal 123.03462266419332
0.304 0.0 0.305 7.42e-05 0.002 4.014 normal 133.24436471724366
0.304 0.0 0.305 7.42e-05 0.0020833333333333333 4.014 inverted 126.64034158153852
0.304 0.0 0.305 7.42e-05 0.002 4.014 inverted 130.9996129839885
0.304 0.0 0.305 7.42e-05 0.0022083333333333334 4.014 inverted 119.27801298639766
0.304 0.0 0.305 7.42e-05 0.0022916666666666667 4.014 inverted 114.25164724366344
0.304 0.0 0.305 7.42e-05 0.002125 4.014 normal 125.08532227373144
0.304 0.0 0.305 7.42e-05 0.0020833333333333333 4.014 normal 127.72686315879437
0.304 0.0 0.305 7.42e-05 0.0022916666666666667 4.014 normal 115.46704729249072
0.304 0.0 0.305 7.42e-05 0.0021666666666666666 4.014 inverted 121.35028233897482
0.304 0.0 0.305 7.42e-05 0.0023333333333333335 4.014 normal 113.69123121209152
0.304 0.0 0.305 7.42e-05 0.002416666666666667 4.014 inverted 108.10290677450479
0.304 0.0 0.305 7.42e-05 0.0027916666666666667 4.014 inverted 95.70627977062259
0.304 0.0 0.305 7.42e-05 0.002458333333333333 4.014 inverted 104.82496501599523
0.304 0.0 0.305 7.42e-05 0.00275 4.014 normal 97.91449631702966
0.304 0.0 0.305 7.42e-05 0.002416666666666667 4.014 normal 109.14307642198179
0.304 0.0 0.305 7.42e-05 0.0025 4.014 normal 104.02255405060676
0.304 0.0 0.305 7.42e-05 0.0026666666666666666 4.014 inverted 98.4800702919671
0.304 0.0 0.305 7.42e-05 0.002541666666666667 4.014 normal 102.41764293590143
0.304 0.0 0.305 7.42e-05 0.002625 4.014 normal 97.87128554612543
0.304 0.0 0.305 7.42e-05 0.002458333333333333 4.014 normal 106.94611049669042
0.304 0.0 0.305 7.42e-05 0.0025833333333333333 4.014 inverted 98.27531391553431
0.304 0.0 0.305 7.42e-05 0.0027083333333333334 4.014 normal 98.10390855521655
0.304 0.0 0.305 7.42e-05 0.0026666666666666666 4.014 normal 98.15298627526542
0.304 0.0 0.305 7.42e-05 0.00275 4.014 inverted 97.46359228399042
0.304 0.0 0.305 7.42e-05 0.0025833333333333333 4.014 normal 99.9395743570231
0.304 0.0 0.305 7.42e-05 0.0027916666666666667 4.014 normal 97.05005310338564
0.304 0.0 0.305 7.42e-05 0.002625 4.014 inverted 97.52468623935665
0.304 0.0 0.305 7.42e-05 0.002541666666666667 4.014 inverted 101.23576558213217
0.304 0.0 0.305 7.42e-05 0.0027083333333333334 4.014 inverted 97.83372174423657
0.304 0.0 0.305 7.42e-05 0.0025 4.014 inverted 102.69345538644706
0.304 0.0 0.32166666666666666 7.42e-05 0.0021666666666666666 4.014 normal 89.934671496866
0.304 0.0 0.32166666666666666 7.42e-05 0.002041666666666667 4.014 inverted 94.49307490683951
0.304 0.0 0.32166666666666666 7.42e-05 0.0020833333333333333 4.014 normal 94.43133867658504
0.304 0.0 0.305 7.42e-05 0.003 4.014 normal 92.02872987054513
0.304 0.0 0.32166666666666666 7.42e-05 0.002 4.014 inverted 97.40808010422528
0.304 0.0 0.305 7.42e-05 0.002958333333333333 4.014 normal 92.89615492968554
0.304 0.0 0.32166666666666666 7.42e-05 0.0020833333333333333 4.014 inverted 93.34824147844839
0.304 0.0 0.305 7.42e-05 0.002958333333333333 4.014 inverted 92.37911873552211
0.304 0.0 0.305 7.42e-05 0.0028333333333333335 4.014 inverted 94.98425366981773
0.304 0.0 0.305 7.42e-05 0.003 4.014 inverted 92.15723454481422
0.304 0.0 0.305 7.42e-05 0.002916666666666667 4.014 normal 93.81915768295953
