Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0022500000000000003 4.014 normal 128.17253261927297
0.304 0.022 0.305 7.42e-05 0.0023 4.014 normal 124.01957573919162
0.304 0.022 0.305 7.42e-05 0.0021 4.014 normal 135.47772330844919
0.304 0.022 0.305 7.42e-05 0.00205 4.014 normal 139.6561090502208
0.304 0.022 0.305 7.42e-05 0.00235 4.014 normal 121.70250381645103
0.304 0.022 0.305 7.42e-05 0.002 4.014 normal 142.53084343554386
0.304 0.022 0.305 7.42e-05 0.00215 4.014 normal 133.16301955883665
0.304 0.022 0.305 7.42e-05 0.0022 4.014 normal 129.60087103146265
0.304 0.022 0.305 7.42e-05 0.00245 4.014 normal 116.20455633643367
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.014 normal 118.8114652923507
0.304 0.022 0.305 7.42e-05 0.0027 4.014 normal 106.95924063387594
0.304 0.022 0.305 7.42e-05 0.0026 4.014 normal 108.57095127906243
0.304 0.022 0.305 7.42e-05 0.0025 4.014 normal 113.27722255263036
0.304 0.022 0.305 7.42e-05 0.00255 4.014 normal 111.61183139888118
0.304 0.022 0.305 7.42e-05 0.00265 4.014 normal 107.70932368510482
0.304 0.022 0.305 7.42e-05 0.00275 4.014 normal 106.71885487431273
0.304 0.022 0.305 7.42e-05 0.003 4.014 normal 99.97342035276415
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 104.82188791147834
0.304 0.022 0.305 7.42e-05 0.00285 4.014 normal 103.34578642706083
0.304 0.022 0.305 7.42e-05 0.00295 4.014 normal 101.2874078172188
0.304 0.022 0.305 7.42e-05 0.0028 4.014 normal 105.35456901921951
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 107.49724547453417
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.014 normal 102.25279766855716
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 100.94544943882406
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 98.70548495996685
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 88.39860384236587
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 95.51357397274387
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 94.1390442401268
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 83.58156924599646
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 85.85472938375244
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 90.5056410512307
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 81.041694655745
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 76.83689210283463
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 76.37896761203376
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 76.34238794851886
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 79.78353853610277
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 73.29414973499927
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 77.42825248035331
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 75.46599807270708
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 73.97651321762974
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 77.80677502927475
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 69.23021621208757
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 80.30974268715434
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 67.93466099790014
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 74.21786288637333
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 72.7133228295033
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 72.06785974350298
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 71.86865498428381
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 64.78651362991401
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 56.577329869399975
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 60.68839800474669
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 58.75492044895499
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 54.005393456927386
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 55.698094630589885
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 53.712491372159214
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 62.89065378322799
0.304 0.022 0.3383333333333333 7.42e-05 0.0028 4.014 normal 53.27904975936862
0.304 0.022 0.3383333333333333 7.42e-05 0.003 4.014 normal 51.42454752201976
0.304 0.022 0.3383333333333333 7.42e-05 0.00285 4.014 normal 52.28938597988389
0.304 0.022 0.3383333333333333 7.42e-05 0.0027 4.014 normal 53.52192088913911
0.304 0.022 0.355 7.42e-05 0.002 4.014 normal 59.709539846723956
0.304 0.022 0.3383333333333333 7.42e-05 0.00295 4.014 normal 51.81469290663991
