Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0025 3.14 normal 126.52968108168805
0.304 0.022 0.305 7.42e-05 0.0025 1.256 inverted 137.5355917326518
0.304 0.022 0.305 7.42e-05 0.0025 1.884 normal 135.96040061995305
0.304 0.022 0.305 7.42e-05 0.0025 2.826 normal 127.1897226373552
0.304 0.022 0.305 7.42e-05 0.0025 0.942 inverted 140.46642484308794
0.304 0.022 0.305 7.42e-05 0.0025 2.512 normal 128.90705734554035
0.304 0.022 0.305 7.42e-05 0.0025 2.826 inverted 129.46274717513327
0.304 0.022 0.305 7.42e-05 0.0025 3.454 normal 126.68410968511195
0.304 0.022 0.305 7.42e-05 0.0025 0.628 inverted 142.708133396494
0.304 0.022 0.305 7.42e-05 0.0025 3.14 inverted 129.86978717383587
0.304 0.022 0.305 7.42e-05 0.0025 0.628 normal 154.90627420572437
0.304 0.022 0.305 7.42e-05 0.0025 1.57 inverted 134.52198890092131
0.304 0.022 0.305 7.42e-05 0.0025 1.256 normal 146.38351768556737
0.304 0.022 0.305 7.42e-05 0.0025 2.198 inverted 130.3151184604607
0.304 0.022 0.305 7.42e-05 0.0025 1.57 normal 140.99901443332152
0.304 0.022 0.305 7.42e-05 0.0025 0.314 inverted 143.7755668315577
0.304 0.022 0.305 7.42e-05 0.0025 1.884 inverted 131.99747569410403
0.304 0.022 0.305 7.42e-05 0.0025 2.198 normal 131.83523117460336
0.304 0.022 0.305 7.42e-05 0.0025 0.942 normal 151.30683364033445
0.304 0.022 0.305 7.42e-05 0.0025 0.0 inverted 143.44589275193218
0.304 0.022 0.305 7.42e-05 0.0025 0.0 normal 155.80942954765052
0.304 0.022 0.305 7.42e-05 0.0025 0.314 normal 156.50583214915488
0.304 0.022 0.305 7.42e-05 0.0025 2.512 inverted 129.50336068227585
0.304 0.022 0.305 7.42e-05 0.0025 3.454 inverted 130.41344646791708
0.304 0.022 0.305 7.42e-05 0.0025 3.768 normal 127.53650295395232
0.304 0.022 0.305 7.42e-05 0.0025 4.396 inverted 132.1230120994906
0.304 0.022 0.305 7.42e-05 0.0025 4.082 normal 129.07072230873186
0.304 0.022 0.305 7.42e-05 0.0025 4.71 inverted 133.1594188399949
0.304 0.022 0.305 7.42e-05 0.0025 6.28 normal 155.79211778900137
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 normal 115.12703652002916
0.304 0.022 0.305 7.42e-05 0.0025 6.28 inverted 143.43409382889163
0.304 0.022 0.305 7.42e-05 0.0025 5.338 normal 143.6655684197641
0.304 0.022 0.305 7.42e-05 0.0025 3.768 inverted 130.95677603100773
0.304 0.022 0.305 7.42e-05 0.0025 4.396 normal 131.41105171219698
0.304 0.022 0.305 7.42e-05 0.0025 4.082 inverted 131.45555524268653
0.304 0.022 0.305 7.42e-05 0.0025 5.338 inverted 136.99156980807817
0.304 0.022 0.305 7.42e-05 0.0025 5.024 inverted 134.7796135469459
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 inverted 104.66938696598446
0.304 0.022 0.305 7.42e-05 0.0025 5.652 normal 148.64757140846845
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 inverted 104.17562147018177
0.304 0.022 0.305 7.42e-05 0.0025 5.652 inverted 139.52583267005338
0.304 0.022 0.305 7.42e-05 0.0025 5.966 inverted 141.86574076468054
0.304 0.022 0.305 7.42e-05 0.0025 4.71 normal 134.65134232963254
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 normal 114.4027919470452
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 inverted 105.0342686038662
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 normal 113.85493313117414
0.304 0.022 0.305 7.42e-05 0.0025 5.966 normal 152.9688105483924
0.304 0.022 0.305 7.42e-05 0.0025 5.024 normal 138.81792378342408
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.826 inverted 93.20174926795696
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.942 normal 110.81687994012606
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.942 inverted 102.25075496703454
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.826 normal 90.6407813362502
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.14 inverted 93.72928384594285
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.256 normal 106.6134627669389
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.256 inverted 99.72135598119368
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.198 inverted 93.58508116151846
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.512 normal 91.92673166140445
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.884 normal 97.72958575995547
