Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0025 1.884 normal 135.0941580890153
0.304 0.022 0.305 7.42e-05 0.0025 0.0 normal 155.7877472063296
0.304 0.022 0.305 7.42e-05 0.0025 0.942 normal 151.20702032370752
0.304 0.022 0.305 7.42e-05 0.0025 1.884 inverted 131.272225188653
0.304 0.022 0.305 7.42e-05 0.0025 1.256 inverted 137.2907979650047
0.304 0.022 0.305 7.42e-05 0.0025 2.826 normal 126.21253062074243
0.304 0.022 0.305 7.42e-05 0.0025 0.628 inverted 142.89425074062027
0.304 0.022 0.305 7.42e-05 0.0025 0.942 inverted 140.4791917651877
0.304 0.022 0.305 7.42e-05 0.0025 2.198 normal 130.8414576716224
0.304 0.022 0.305 7.42e-05 0.0025 3.454 normal 125.79718209328615
0.304 0.022 0.305 7.42e-05 0.0025 2.512 normal 127.88678343825924
0.304 0.022 0.305 7.42e-05 0.0025 1.57 inverted 134.00845005030686
0.304 0.022 0.305 7.42e-05 0.0025 0.0 inverted 143.5542795293043
0.304 0.022 0.305 7.42e-05 0.0025 0.314 inverted 143.9981557869873
0.304 0.022 0.305 7.42e-05 0.0025 2.198 inverted 129.47498190044922
0.304 0.022 0.305 7.42e-05 0.0025 3.14 inverted 129.11986228823434
0.304 0.022 0.305 7.42e-05 0.0025 2.512 inverted 128.64678389737617
0.304 0.022 0.305 7.42e-05 0.0025 0.314 normal 156.60825108108511
0.304 0.022 0.305 7.42e-05 0.0025 1.57 normal 140.3570677787063
0.304 0.022 0.305 7.42e-05 0.0025 3.454 inverted 129.68929986411308
0.304 0.022 0.305 7.42e-05 0.0025 3.14 normal 125.61251382830825
0.304 0.022 0.305 7.42e-05 0.0025 0.628 normal 154.97879858887723
0.304 0.022 0.305 7.42e-05 0.0025 1.256 normal 146.02077276785428
0.304 0.022 0.305 7.42e-05 0.0025 2.826 inverted 128.65329408102278
0.304 0.022 0.305 7.42e-05 0.0025 3.768 normal 126.62419613243091
0.304 0.022 0.305 7.42e-05 0.0025 3.768 inverted 130.20134612010412
0.304 0.022 0.305 7.42e-05 0.0025 5.338 inverted 136.3127673263683
0.304 0.022 0.305 7.42e-05 0.0025 4.396 inverted 131.21545947634596
0.304 0.022 0.305 7.42e-05 0.0025 4.082 normal 128.0879453537121
0.304 0.022 0.305 7.42e-05 0.0025 4.71 normal 133.56727614532298
0.304 0.022 0.305 7.42e-05 0.0025 5.966 inverted 141.73838209157137
0.304 0.022 0.305 7.42e-05 0.0025 5.652 inverted 139.11138241255318
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 normal 115.69788872477547
0.304 0.022 0.305 7.42e-05 0.0025 5.024 normal 137.80368380794002
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 normal 114.39367764133807
0.304 0.022 0.305 7.42e-05 0.0025 4.082 inverted 130.62522935324844
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 normal 114.84282769065275
0.304 0.022 0.305 7.42e-05 0.0025 4.71 inverted 132.2271017628255
0.304 0.022 0.305 7.42e-05 0.0025 4.396 normal 130.3524871830633
0.304 0.022 0.305 7.42e-05 0.0025 5.024 inverted 133.91912609113683
0.304 0.022 0.305 7.42e-05 0.0025 5.652 normal 148.08409702242588
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 inverted 105.73293655538339
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 inverted 104.83473172141193
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 inverted 105.24900324161032
0.304 0.022 0.305 7.42e-05 0.0025 5.966 normal 152.70026060554093
0.304 0.022 0.305 7.42e-05 0.0025 6.28 normal 155.76841171252013
0.304 0.022 0.305 7.42e-05 0.0025 5.338 normal 142.8330105575147
