Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0025 0.314 inverted 143.27163684967735
0.304 0.022 0.305 7.42e-05 0.0025 0.942 normal 150.0975868499689
0.304 0.022 0.305 7.42e-05 0.0025 1.884 normal 134.70056434464365
0.304 0.022 0.305 7.42e-05 0.0025 3.14 normal 125.41224591764056
0.304 0.022 0.305 7.42e-05 0.0025 2.198 normal 130.5944371563871
0.304 0.022 0.305 7.42e-05 0.0025 0.942 inverted 139.95399565155594
0.304 0.022 0.305 7.42e-05 0.0025 2.826 inverted 128.94513993544456
0.304 0.022 0.305 7.42e-05 0.0025 0.628 normal 153.7081614955484
0.304 0.022 0.305 7.42e-05 0.0025 0.314 normal 155.29629065846422
0.304 0.022 0.305 7.42e-05 0.0025 0.0 normal 154.56506607287275
0.304 0.022 0.305 7.42e-05 0.0025 2.512 inverted 128.9542497363618
0.304 0.022 0.305 7.42e-05 0.0025 0.628 inverted 142.21231692340686
0.304 0.022 0.305 7.42e-05 0.0025 2.198 inverted 129.73938070866808
0.304 0.022 0.305 7.42e-05 0.0025 1.57 normal 139.74383117485922
0.304 0.022 0.305 7.42e-05 0.0025 1.256 normal 145.15017331715683
0.304 0.022 0.305 7.42e-05 0.0025 3.454 inverted 129.92036314296772
0.304 0.022 0.305 7.42e-05 0.0025 1.57 inverted 133.95068607677106
0.304 0.022 0.305 7.42e-05 0.0025 2.826 normal 126.0343074156902
0.304 0.022 0.305 7.42e-05 0.0025 1.256 inverted 136.99301450136758
0.304 0.022 0.305 7.42e-05 0.0025 3.454 normal 125.57931876720149
0.304 0.022 0.305 7.42e-05 0.0025 0.0 inverted 142.90663692637986
0.304 0.022 0.305 7.42e-05 0.0025 1.884 inverted 131.41342465163538
0.304 0.022 0.305 7.42e-05 0.0025 3.14 inverted 129.37565308612832
0.304 0.022 0.305 7.42e-05 0.0025 2.512 normal 127.70480292653211
0.304 0.022 0.305 7.42e-05 0.0025 4.71 normal 133.34575247947686
0.304 0.022 0.305 7.42e-05 0.0025 5.024 inverted 134.08199649455196
0.304 0.022 0.305 7.42e-05 0.0025 4.082 inverted 130.88736117274436
0.304 0.022 0.305 7.42e-05 0.0025 4.71 inverted 132.48481030830638
0.304 0.022 0.305 7.42e-05 0.0025 5.338 normal 142.3065232178562
0.304 0.022 0.305 7.42e-05 0.0025 5.024 normal 137.4692753899457
0.304 0.022 0.305 7.42e-05 0.0025 4.082 normal 127.89662978359705
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 normal 113.67855858219343
0.304 0.022 0.305 7.42e-05 0.0025 4.396 inverted 131.4964924266601
0.304 0.022 0.305 7.42e-05 0.0025 3.768 normal 126.41241684137071
0.304 0.022 0.305 7.42e-05 0.0025 4.396 normal 130.1696490373607
0.304 0.022 0.305 7.42e-05 0.0025 6.28 inverted 142.89439530817606
0.304 0.022 0.305 7.42e-05 0.0025 5.966 normal 151.6763542599197
0.304 0.022 0.305 7.42e-05 0.0025 5.652 normal 147.31108696579852
0.304 0.022 0.305 7.42e-05 0.0025 5.966 inverted 141.27241261370443
0.304 0.022 0.305 7.42e-05 0.0025 5.652 inverted 138.8773136122719
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 normal 114.44050261577048
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.0 inverted 104.63189291861136
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 inverted 104.17854686137395
0.304 0.022 0.305 7.42e-05 0.0025 3.768 inverted 130.4366538421933
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.314 inverted 105.03251588941593
0.304 0.022 0.305 7.42e-05 0.0025 5.338 inverted 136.3044985999959
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.628 normal 113.17632917049376
0.304 0.022 0.305 7.42e-05 0.0025 6.28 normal 154.54734737183713
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.14 inverted 93.65713499780406
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.14 normal 89.5109743481405
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.884 inverted 94.84010541605365
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.256 normal 105.87517371010408
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.942 normal 110.11740608307656
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 0.942 inverted 102.2296244910925
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.198 normal 93.48742587611035
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.826 inverted 93.10976886526599
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.082 normal 91.60935967409527
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.454 normal 89.75436688496414
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.826 normal 89.89878258762236
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.884 normal 96.92822823724306
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.57 inverted 97.02425779155575
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.57 normal 101.23591768263721
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.512 normal 91.14940124768297
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.512 inverted 92.93093664808146
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.082 inverted 95.08867003601654
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.768 normal 90.46159062372159
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.768 inverted 94.76109368948542
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.396 inverted 95.43684476101991
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 2.198 inverted 93.45192311920762
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 3.454 inverted 94.27367274158895
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.396 normal 93.31862445109172
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 1.256 inverted 99.658782544286
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.338 normal 103.03237798731217
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.966 normal 111.07456970664057
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.71 normal 95.76677682495942
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.71 inverted 96.06044300203949
