Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown X2 
0.304 0.022 0.30500 0.0000742 0.0025000 1.653 normal 1.0030488199626202 1.0135953334074081 -0.007153758816224144 1.0100488098928346 0.9956269224806927 0.03899777340529049 -0.1309144341772362 85.92
0.304 0.022 0.30500 0.0000742 0.0025000 2.314 normal 1.0021660020640284 1.0121975109245847 -0.007809592663113923 1.009398208181939 0.9985953084404755 0.04030775465008417 -0.13187291143213786 77.19
0.304 0.022 0.30500 0.0000742 0.0025000 1.322 normal 1.0030353002608983 1.0144848693200437 -0.0074701432651766405 1.0104577529064722 0.992386607738561 0.038846067086354207 -0.131651461645379 88.27
0.304 0.022 0.30500 0.0000742 0.0025000 0.000 normal 1.0025060387824094 1.0137512520403902 -0.008186125956946582 1.0105499077542448 0.9929257243556358 0.040999331939162914 -0.1351308504675439 94.73
0.304 0.022 0.30500 0.0000742 0.0025000 0.992 normal 1.0021014261011172 1.0144744766367435 -0.00798320853559942 1.0100433053610505 0.9903455284086456 0.039060173026572824 -0.1334719999343497 90.76
0.304 0.022 0.30500 0.0000742 0.0025000 0.661 normal 1.0023291260411125 1.0137302496170122 -0.008010320216134023 1.012176766767647 0.9897498120489919 0.039570931150324826 -0.1369903087878535 92.93
0.304 0.022 0.30500 0.0000742 0.0025000 0.331 normal 1.0027013926771515 1.0138981735928796 -0.008072180060490973 1.0114546664628987 0.9906458566933957 0.040259125802057795 -0.13640846368226792 94.34
0.304 0.022 0.30500 0.0000742 0.0025000 1.983 normal 1.0039276174745875 1.0127509982169767 -0.006508963709489003 1.010963329077189 0.9997162713524038 0.0395124535677355 -0.1312054313065645 84.02
0.304 0.022 0.30500 0.0000742 0.0025000 2.644 normal 1.0048220971519575 1.0119258579173496 -0.007899827944261356 1.0094916488040069 0.9971303847496096 0.041238791001616454 -0.1353344033186323 71.09
0.304 0.022 0.30500 0.0000742 0.0025000 4.958 normal 1.0025092429287878 1.0112885846731945 -0.009176037907594064 1.010335968075612 0.9969192819573764 0.04314910536162415 -0.1349846895016166 76.08
0.304 0.022 0.30500 0.0000742 0.0025000 3.305 normal 1.004306667520876 1.011380935270103 -0.009234948845095552 1.0102306228131661 0.994923959173655 0.042877733055343654 -0.13581910406151673 63.63
0.304 0.022 0.30500 0.0000742 0.0025000 2.975 normal 1.0039923390270584 1.0115504139360083 -0.00879656324563721 1.0098992789483612 0.9958641300565527 0.04214063453837327 -0.13612092828394604 66.53
0.304 0.022 0.30500 0.0000742 0.0025000 4.297 normal 1.0052281736460777 1.0122521784686567 -0.009283466493166628 1.0105480063363115 0.9948296963807335 0.04359905953245582 -0.13471771449534672 65.63
0.304 0.022 0.30500 0.0000742 0.0025000 4.627 normal 1.0041444750767095 1.0116319959988382 -0.009139819885726758 1.0104685525843298 0.9957071869783232 0.04343260076926335 -0.13634341827262528 69.98
0.304 0.022 0.30500 0.0000742 0.0025000 3.966 normal 1.006398493629194 1.0120691052622564 -0.00907022824882587 1.0107681175231593 0.9943825117350287 0.043597314095754854 -0.13771141125707725 63.15
0.304 0.022 0.30500 0.0000742 0.0025000 3.636 normal 1.0048535899461446 1.0114574298084573 -0.009409849033072381 1.0104500679832897 0.9944170263967664 0.04336750385972788 -0.1351996286385844 62.50
0.304 0.022 0.30500 0.0000742 0.0025000 5.949 normal 1.0023274360152001 1.0128374696164286 -0.00811650396603664 1.0099379086253224 0.996376306292238 0.0417013352097061 -0.13432160088000208 94.02
0.304 0.022 0.30500 0.0000742 0.0025000 5.288 normal 1.0018132485853675 1.011474310348442 -0.008733946892954455 1.01016169089552 0.9983379570037891 0.042772607238232035 -0.13677305296737433 83.56
0.304 0.022 0.30500 0.0000742 0.0025000 6.280 normal 1.0025536939029491 1.0138001143913424 -0.008176067936072524 1.010483832632092 0.9929540228242035 0.04100671616951232 -0.13502737870208678 94.72
0.304 0.022 0.32605 0.0000742 0.0025000 0.992 normal 1.0020576531549774 1.0123667797882168 -0.0068307927154222636 1.0086493119108104 0.9871055009251527 0.03035431923078777 -0.10320091680345209 61.84
0.304 0.022 0.32605 0.0000742 0.0025000 0.661 normal 1.0027732669836038 1.0123990553239481 -0.0068170572323117936 1.0090339554742895 0.9864848777534622 0.03083393157148524 -0.10443300251704393 63.60
0.304 0.022 0.30500 0.0000742 0.0025000 5.619 normal 1.00257948144032 1.0121172325453105 -0.007947428359469386 1.0100869875625755 0.9998234217879547 0.04229159096260321 -0.1334793316796127 91.69
0.304 0.022 0.32605 0.0000742 0.0025000 0.331 normal 1.002782397246369 1.0118498394808326 -0.006821632885984456 1.0091885917885197 0.9873953302789962 0.0315109384220747 -0.10661800781292981 64.75
0.304 0.022 0.32605 0.0000742 0.0025000 0.000 normal 1.0034661782805057 1.0116996916131518 -0.006560568618253456 1.0088173043195094 0.9897262500397404 0.03226056518764991 -0.1086547856708886 65.04
0.304 0.022 0.32605 0.0000742 0.0025000 1.983 normal 1.0018619390275034 1.010007636823761 -0.005996877059253418 1.0086152961464894 0.9967323481834681 0.031005274548164468 -0.10138912919633279 56.42
0.304 0.022 0.32605 0.0000742 0.0025000 2.314 normal 0.9995379186641323 1.0084404768211632 -0.006753878769282861 1.0082873737495979 0.9995544245949259 0.03187757415269985 -0.10167011216418506 54.02
0.304 0.022 0.32605 0.0000742 0.0025000 1.322 normal 1.002421498489158 1.0117523900383631 -0.0063523509559966305 1.008976141564903 0.9891992923750356 0.030191356073766253 -0.10360688461860439 59.81
0.304 0.022 0.32605 0.0000742 0.0025000 2.644 normal 1.0028754856951594 1.0092951221633575 -0.006728567152224533 1.0075045128356706 0.9980597567200113 0.03287161012433809 -0.10253042388664206 48.96
0.304 0.022 0.32605 0.0000742 0.0025000 1.653 normal 1.00244264026473 1.0111060328730928 -0.006094036922626247 1.0087708002992386 0.9925342545560338 0.030413087288795212 -0.10301075326684818 57.92
0.304 0.022 0.32605 0.0000742 0.0025000 2.975 normal 0.9998584551437513 1.0079149679473736 -0.008318081932965739 1.0066356121128532 0.9967622853322691 0.0338210604090286 -0.10422836875535338 45.25
0.304 0.022 0.32605 0.0000742 0.0025000 3.636 normal 1.0036450533938386 1.0087688539105484 -0.008179889845886244 1.0062004702384513 0.9952865835819571 0.03505311094599232 -0.1056221196017431 41.99
0.304 0.022 0.32605 0.0000742 0.0025000 3.305 normal 1.0045242923705924 1.0091024731667275 -0.007572123991458049 1.0067218384737595 0.9958017885973074 0.03457620569067631 -0.10491137656053634 42.88
0.304 0.022 0.32605 0.0000742 0.0025000 5.619 normal 1.0016454624561566 1.00914235217448 -0.006823126292139118 1.0087271721830287 0.9974874930834206 0.033615589256114 -0.1042813257191705 63.14
0.304 0.022 0.32605 0.0000742 0.0025000 5.288 normal 0.9990286280569857 1.0077251891517371 -0.007796243423055375 1.00781232178375 0.9993211387576197 0.03415002168485851 -0.10413659454321955 59.21
0.304 0.022 0.32605 0.0000742 0.0025000 5.949 normal 1.0017086345106108 1.010133875104131 -0.007033967016808263 1.0089815071140344 0.9932297698598435 0.032981021589694175 -0.10548207206895319 64.44
0.304 0.022 0.32605 0.0000742 0.0025000 4.958 normal 0.9998057790501065 1.0088221008341365 -0.008316340455415919 1.0055171440298925 0.9978590217670638 0.03459952187035082 -0.1023175984094756 52.94
0.304 0.022 0.32605 0.0000742 0.0025000 4.297 normal 1.0011113418341544 1.0085895163562173 -0.008855889971446698 1.0053026958232958 0.9957175796389761 0.03518908921769447 -0.10412662784449207 44.47
0.304 0.022 0.32605 0.0000742 0.0025000 4.627 normal 0.9994552756665279 1.0074473336262273 -0.008848113787451232 1.0069447024975262 0.9966182109391921 0.034952961671074145 -0.10578524573925976 47.95
0.304 0.022 0.32605 0.0000742 0.0025000 6.280 normal 1.0034637339609167 1.0116933839012896 -0.006555779289142147 1.0088238219027148 0.9897578641016435 0.03226864414363936 -0.10874942640680454 65.04
0.304 0.022 0.32605 0.0000742 0.0025000 3.966 normal 1.0035967644341532 1.0086745910646735 -0.008239573742967219 1.0064869949638424 0.995251593833298 0.03524657408532903 -0.10619535914476816 42.47
0.304 0.022 0.34711 0.0000742 0.0025000 2.314 normal 0.9998922202623309 1.0063362419925703 -0.005309597060266853 1.006618400335525 0.9986961853810681 0.024319204718080346 -0.07548216432077705 35.54
0.304 0.022 0.34711 0.0000742 0.0025000 1.983 normal 1.0000541772856624 1.0074654940348504 -0.005467226852789457 1.0066545412835355 0.9939963567663274 0.023371322590901276 -0.0762833604567867 36.27
0.304 0.022 0.34711 0.0000742 0.0025000 1.653 normal 0.9989838089285337 1.0080358801569669 -0.006019604138017749 1.006862837943214 0.9897084486733022 0.022700842877542433 -0.07761402051310952 37.44
0.304 0.022 0.34711 0.0000742 0.0025000 0.000 normal 1.0015982667076142 1.0088624458599753 -0.006134784917160716 1.0072538060745009 0.9867950774847204 0.024378721455430227 -0.07995639463242854 43.10
0.304 0.022 0.34711 0.0000742 0.0025000 0.331 normal 1.0023905644350737 1.0098626083282967 -0.006048701157060635 1.0071817562981011 0.9844243043919935 0.023622996535871056 -0.07813179845868468 42.90
0.304 0.022 0.34711 0.0000742 0.0025000 0.992 normal 1.0025618562068328 1.0101310490141637 -0.005523248250208136 1.0073615251022332 0.9841451599935472 0.02251560194375232 -0.0793737409407455 40.58
0.304 0.022 0.34711 0.0000742 0.0025000 1.322 normal 1.002020848939845 1.009621554487178 -0.005435454593489043 1.0071205452622487 0.9862962138984585 0.022409525264571566 -0.07803748614693358 38.95
0.304 0.022 0.34711 0.0000742 0.0025000 0.661 normal 1.002406222743602 1.0100420850369893 -0.0059638887434058955 1.0065322782576245 0.9835013958725897 0.022959403240038537 -0.07853874346806786 42.00
0.304 0.022 0.34711 0.0000742 0.0025000 4.958 normal 0.999537385380742 1.0052814841694457 -0.006574820133558864 1.006077528198136 0.9987220129421301 0.026908822239837173 -0.07819158071972676 35.63
0.304 0.022 0.34711 0.0000742 0.0025000 2.644 normal 0.9999708872777562 1.0057460128636824 -0.005869126331908179 1.0061789205241878 0.9989050018697723 0.025381594268291723 -0.0770329050306157 32.56
0.304 0.022 0.34711 0.0000742 0.0025000 2.975 normal 0.9995705768695174 1.0053802961197633 -0.006780699080863699 1.0054663815925207 0.9975827865797287 0.02637242876113955 -0.07852936580361332 29.59
0.304 0.022 0.34711 0.0000742 0.0025000 4.297 normal 0.9995541171622261 1.0051843443694077 -0.007591209036371049 1.0050140796539158 0.9965318265849799 0.027640622722955373 -0.07934053730079936 28.96
0.304 0.022 0.34711 0.0000742 0.0025000 4.627 normal 1.000429132842946 1.0054102885089813 -0.006901194097935049 1.0055392793763627 0.997453042586075 0.02733441089571298 -0.0791690554318623 31.66
0.304 0.022 0.34711 0.0000742 0.0025000 3.966 normal 1.0011889293432006 1.0054397576077234 -0.007350777562919642 1.004930578790694 0.9960535791237504 0.027758643556058903 -0.07904761577507523 27.46
0.304 0.022 0.34711 0.0000742 0.0025000 3.636 normal 1.0018741836465648 1.0058778073458507 -0.007026589710656443 1.0048966142160862 0.9960828230903298 0.027607413839834446 -0.07946126845431031 27.08
0.304 0.022 0.34711 0.0000742 0.0025000 3.305 normal 1.0029904272761314 1.006393926775495 -0.006304875425921823 1.0050228673715471 0.9966095642528596 0.027142278129210672 -0.07953987796016573 27.77
0.304 0.022 0.34711 0.0000742 0.0025000 5.949 normal 1.0009824011475263 1.007921707674396 -0.006176758936794832 1.0071705674553466 0.9903748871551848 0.025125948381749797 -0.07939084733853242 42.56
0.304 0.022 0.34711 0.0000742 0.0025000 5.619 normal 0.9996433763394603 1.0065626990490917 -0.0062860557861161605 1.0070076935189207 0.9947307680359533 0.025806759019946456 -0.0788495103273371 41.50
0.304 0.022 0.34711 0.0000742 0.0025000 5.288 normal 1.000336523951351 1.0058339265105658 -0.005787081235134633 1.0068047222029446 0.9993501875484948 0.02639040268911637 -0.07729518013204942 40.19
