Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.305 7.42e-05 0.0025 2.9747368421052633 normal 119.82910267173577
0.304 0.022 0.305 7.42e-05 0.0025 5.28842105263158 normal 134.83247275139053
0.304 0.022 0.305 7.42e-05 0.0025 0.0 normal 147.7647653899842
0.304 0.022 0.305 7.42e-05 0.0025 0.3305263157894737 normal 148.5920837347889
0.304 0.022 0.305 7.42e-05 0.0025 1.6526315789473687 normal 133.10872833850402
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 0.9915789473684211 normal 98.5099433004929
0.304 0.022 0.305 7.42e-05 0.0025 0.9915789473684211 normal 143.3928642354914
0.304 0.022 0.305 7.42e-05 0.0025 2.64421052631579 normal 121.44125921746465
0.304 0.022 0.305 7.42e-05 0.0025 0.6610526315789474 normal 147.02179268194274
0.304 0.022 0.305 7.42e-05 0.0025 5.618947368421053 normal 140.0740936843073
0.304 0.022 0.305 7.42e-05 0.0025 3.635789473684211 normal 119.44990360251046
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 0.0 normal 101.81362271735266
0.304 0.022 0.305 7.42e-05 0.0025 3.9663157894736845 normal 120.53319521710844
0.304 0.022 0.305 7.42e-05 0.0025 1.9831578947368422 normal 128.19637836705118
0.304 0.022 0.305 7.42e-05 0.0025 4.6273684210526325 normal 125.65889932008194
0.304 0.022 0.305 7.42e-05 0.0025 1.322105263157895 normal 138.44761313647209
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 0.6610526315789474 normal 101.4978302550916
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 0.3305263157894737 normal 102.69039646357865
0.304 0.022 0.305 7.42e-05 0.0025 4.296842105263158 normal 122.56360264312278
0.304 0.022 0.305 7.42e-05 0.0025 5.949473684210527 normal 144.67785754155003
0.304 0.022 0.305 7.42e-05 0.0025 3.3052631578947373 normal 119.19213674732538
0.304 0.022 0.305 7.42e-05 0.0025 6.28 normal 147.74633581897547
0.304 0.022 0.305 7.42e-05 0.0025 4.957894736842106 normal 129.83356651283663
0.304 0.022 0.305 7.42e-05 0.0025 2.3136842105263162 normal 124.22387450027813
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 1.9831578947368422 normal 85.77194678916237
0.304 0.022 0.34710526315789475 7.42e-05 0.0025 0.0 normal 68.13232585566837
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 2.3136842105263162 normal 82.51663086525484
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 6.28 normal 101.79305047315763
0.304 0.022 0.34710526315789475 7.42e-05 0.0025 0.3305263157894737 normal 69.04568428070058
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 3.635789473684211 normal 78.79482207293444
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 2.9747368421052633 normal 79.05420653083729
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 1.322105263157895 normal 94.36821802364062
0.304 0.022 0.34710526315789475 7.42e-05 0.0025 1.9831578947368422 normal 55.13415773054164
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 5.618947368421053 normal 95.0785022506684
0.304 0.022 0.32605263157894737 7.42e-05 0.0025 3.3052631578947373 normal 78.59556540066937
